"HUC8","Site_Num","Long","Lat","Year","BFI","Temp_C","Precip_MM","AET_MM","Elevation_M","AREA_KM2","SLOPE_DEGREES","SOIL_A_PERCENT","SOIL_B_PERCENT","SOIL_C_PERCENT","SOIL_D_PERCENT","SOIL_A_D_PERCENT","SOIL_B_D_PERCENT","SOIL_C_D_PERCENT","LC_UNCLASSIFIED_PERCENT","LC_OPEN_WATER_PERCENT","LC_DEVELOPED_OPEN_SPACE_PERCENT","LC_DEVELOPED_LOW_INTENSITY_PERCENT","LC_DEVELOPED_MEDIUM_INTENSITY_PERCENT","LC_DEVELOPED_HIGH_INTENSITY_PERCENT","LC_BARREN_LAND_PERCENT","LC_DECIDUOUS_FOREST_PERCENT","LC_EVERGREEN_FOREST_PERCENT","LC_MIXED_FOREST_PERCENT","LC_SHRUB_PERCENT","LC_HERBACEOUS_PERCENT","LC_HAY_PASTURE_PERCENT","LC_CULTIVATED_CROPS_PERCENT","LC_WOODY_WETLANDS_PERCENT","LC_EMERGENT_HERBACEOUS_WETLANDS_PERCENT","KARST_PERCENT","IGNEOUS_INTRUSIVE_PERCENT","SEDIMENTARY_CLASTIC_PERCENT","METAMORPHIC_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT","IGNEOUS_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT","METAMORPHIC_SCHIST_PERCENT","SEDIMENTARY_UNDIFFERENTIATED_PERCENT","IGNEOUS_VOLCANIC_PERCENT","METAMORPHIC_UNDIFFERENTIATED_PERCENT","UNCONSOLIDATED_UNDIFFERENTIATED_PERCENT","IGNEOUS_UNDIFFERENTIATED_PERCENT","METAMORPHIC_GNEISS_PERCENT","METAMORPHIC_VOLCANIC_PERCENT","METAMORPHIC_SEDIMENTARY_CLASTIC_PERCENT","ASPECT_FLAT_PERCENT","ASPECT_NORTH_PERCENT","ASPECT_SOUTH_PERCENT","BFI.log","Predicted_BFI"
15020017,9401110,-110.9304167,35.78069444,1998,0.109166438664592,11.32,282.74,252.557891845703,1572.11,2121.5785,3.5159,0.4579,0.0521,0.4871,0.3951,0,0,0,0,0,0.0025,5e-04,2e-04,0,0.0052,0,0.1084,0,0.6654,0.2154,0,0,0.0014,0.001,0.0627,0,0.5296,0,0,0,0.3481,0,0,0.1223,0,0,0,0,0.0027,0.4667,0.5307,-2.09928393233712,0.0586430200437496
15020017,9401110,-110.9304167,35.78069444,2003,0.0500396860238443,12.82,147.34,186.767227172852,1572.11,2121.5785,3.5159,0.4579,0.0521,0.4871,0.3951,0,0,0,0,0,0.0025,5e-04,2e-04,0,0.0052,0,0.1084,0,0.6654,0.2154,0,0,0.0014,0.001,0.0627,0,0.5296,0,0,0,0.3481,0,0,0.1223,0,0,0,0,0.0027,0.4667,0.5307,-2.94360379788454,0.0764212959617505
15020017,9401110,-110.9304167,35.78069444,2018,0.0613657324626459,13.04,140.84,199.410461425781,1572.11,2121.5785,3.5159,0.4579,0.0521,0.4871,0.3951,0,0,0,0,0,0.0025,5e-04,2e-04,0,0.0052,0,0.1084,0,0.6654,0.2154,0,0,0.0014,0.001,0.0627,0,0.5296,0,0,0,0.3481,0,0,0.1223,0,0,0,0,0.0027,0.4667,0.5307,-2.72757433575496,0.0876015253577265
15020012,9400562,-110.774027,35.57972897,1996,0.0054000413050877,11.9,164.44,185.329742431641,1537.04,1895.5625,6.1119,0.3478,0.0939,0.6031,0.3804,0,0,0,0,0,0.0027,0.0014,3e-04,0,4e-04,0,0.1746,0,0.6388,0.1773,0,0,0.0031,0.0015,0.0697,0,0.2922,0,0,0,0.5907,0,0,0.117,0,0,0,0,0.003,0.4537,0.5433,-5.21593400212,0.0124405757850779
15020012,9400562,-110.774027,35.57972897,1997,0.0127422185305527,10.95,304.06,271.527191162109,1537.04,1895.5625,6.1119,0.3478,0.0939,0.6031,0.3804,0,0,0,0,0,0.0027,0.0014,3e-04,0,4e-04,0,0.1746,0,0.6388,0.1773,0,0,0.0031,0.0015,0.0697,0,0.2922,0,0,0,0.5907,0,0,0.117,0,0,0,0,0.003,0.4537,0.5433,-4.35001040814073,0.00632606482734635
15020012,9400562,-110.774027,35.57972897,2001,0.0358019129174826,11.73,172.52,194.106964111328,1537.04,1895.5625,6.1119,0.3478,0.0939,0.6031,0.3804,0,0,0,0,0,0.0027,0.0014,3e-04,0,4e-04,0,0.1746,0,0.6388,0.1773,0,0,0.0031,0.0015,0.0697,0,0.2922,0,0,0,0.5907,0,0,0.117,0,0,0,0,0.003,0.4537,0.5433,-3.29329543259855,0.0113699333620113
15020012,9400562,-110.774027,35.57972897,2002,0.0154952332111399,11.39,149.43,186.169387817383,1537.04,1895.5625,6.1119,0.3478,0.0939,0.6031,0.3804,0,0,0,0,0,0.0027,0.0014,3e-04,0,4e-04,0,0.1746,0,0.6388,0.1773,0,0,0.0031,0.0015,0.0697,0,0.2922,0,0,0,0.5907,0,0,0.117,0,0,0,0,0.003,0.4537,0.5433,-4.15160629804328,0.0103343930816191
15020012,9400562,-110.774027,35.57972897,2009,0.00126652707993743,11.08,132.34,144.320907592773,1537.04,1895.5625,6.1119,0.3478,0.0939,0.6031,0.3804,0,0,0,0,0,0.0027,0.0014,3e-04,0,4e-04,0,0.1746,0,0.6388,0.1773,0,0,0.0031,0.0015,0.0697,0,0.2922,0,0,0,0.5907,0,0,0.117,0,0,0,0,0.003,0.4537,0.5433,-6.67020937723656,0.0234386498369894
15020010,9397500,-110.7142957,34.6364196,1952,0.240156971225622,9.41,535.08,387.025655658428,1824.29,2123.643,4.7055,0.0319,0.7447,0.09,0.521,0,5e-04,2e-04,0,7e-04,0.0123,0.001,5e-04,1e-04,0.0025,0,0.3953,0,0.4489,0.137,0,0,0.0014,3e-04,0.9547,0,0.1167,0,0,0,0.8738,0,0,0.0095,0,0,0,0,9e-04,0.6474,0.3517,-1.15181911454144,0.198153806296232
15020010,9397500,-110.7142957,34.6364196,1955,0.112024758577607,9.37,408.85,387.025655658428,1824.29,2123.643,4.7055,0.0319,0.7447,0.09,0.521,0,5e-04,2e-04,0,7e-04,0.0123,0.001,5e-04,1e-04,0.0025,0,0.3953,0,0.4489,0.137,0,0,0.0014,3e-04,0.9547,0,0.1167,0,0,0,0.8738,0,0,0.0095,0,0,0,0,9e-04,0.6474,0.3517,-2.07022395572854,0.169664704946598
15020010,9397500,-110.7142957,34.6364196,1963,0.184931547547763,10.13,400.52,367.083709716797,1824.29,2123.643,4.7055,0.0319,0.7447,0.09,0.521,0,5e-04,2e-04,0,7e-04,0.0123,0.001,5e-04,1e-04,0.0025,0,0.3953,0,0.4489,0.137,0,0,0.0014,3e-04,0.9547,0,0.1167,0,0,0,0.8738,0,0,0.0095,0,0,0,0,9e-04,0.6474,0.3517,-1.48328635710158,0.218684021107261
15020010,9397500,-110.7142957,34.6364196,1968,0.270819680134807,9.12,362.16,412.174377441406,1824.29,2123.643,4.7055,0.0319,0.7447,0.09,0.521,0,5e-04,2e-04,0,7e-04,0.0123,0.001,5e-04,1e-04,0.0025,0,0.3953,0,0.4489,0.137,0,0,0.0014,3e-04,0.9547,0,0.1167,0,0,0,0.8738,0,0,0.0095,0,0,0,0,9e-04,0.6474,0.3517,-0.990467841319789,0.19230475804794
15020010,9397500,-110.7142957,34.6364196,1969,0.1162124964321,10.03,453.41,444.692443847656,1824.29,2123.643,4.7055,0.0319,0.7447,0.09,0.521,0,5e-04,2e-04,0,7e-04,0.0123,0.001,5e-04,1e-04,0.0025,0,0.3953,0,0.4489,0.137,0,0,0.0014,3e-04,0.9547,0,0.1167,0,0,0,0.8738,0,0,0.0095,0,0,0,0,9e-04,0.6474,0.3517,-2.02879627208184,0.193481664895313
