"","HUC8","BFI"
"1","14070006",0.21402636182534
"2","14070007",0.261784488974856
"3","14080105",0.174831545786088
"4","14080201",0.0846367775145437
"5","14080204",0.217253536372708
"6","14080205",0.156027543918781
"7","15010001",0.417928472126459
"8","15010002",0.574434295514208
"9","15010003",0.133189590251216
"10","15010004",0.322200477881726
"11","15010005",0.551364632385353
"12","15010006",0.268803724765989
"13","15010007",0.0741654931443451
"14","15010009",0.100820162915954
"15","15010010",0.430544238110388
"16","15010014",0.0932442442898062
"17","15020001",0.399823043033824
"18","15020002",0.285088404790521
"19","15020003",0.0469142215362041
"20","15020004",0.0426236484039866
"21","15020005",0.361109846619062
"22","15020006",0.0830341432521421
"23","15020007",0.0355425169922898
"24","15020008",0.138381638936528
"25","15020009",0.0904588060554498
"26","15020010",0.180276446996096
"27","15020011",0.136414961690534
"28","15020012",0.0394886281459285
"29","15020013",0.217678307517514
"30","15020014",0.0116940973989541
"31","15020015",0.34528280359894
"32","15020016",0.12457161142264
"33","15020017",0.180764060062025
"34","15020018",0.290574633624411
"35","15030101",0.219354385630798
"36","15030103",0.029142658927618
"37","15030104",0.517012436144762
"38","15030105",0.0828892510086774
"39","15030106",0.0997422067294119
"40","15030107",0.26890637384428
"41","15030108",0.273253335187058
"42","15030201",0.234515983948947
"43","15030202",0.13243085672483
"44","15030203",0.100376205565414
"45","15030204",0.503822892744942
"46","15040002",0.458740909095542
"47","15040004",0.328610805941884
"48","15040005",0.527605993093732
"49","15040006",0.0109269375336752
"50","15040007",0.217125556990833
"51","15050100",0.510593255568044
"52","15050201",0.0870153149451054
"53","15050202",0.289020321124442
"54","15050203",0.216280169362607
"55","15050301",0.159724118407403
"56","15050302",0.0965695354527963
"57","15050303",0.16784601512549
"58","15050304",0.0328569872401667
"59","15050305",0.00632983833470212
"60","15050306",0.00501728555768082
"61","15060101",0.448971530346072
"62","15060102",0.547960953244269
"63","15060103",0.314512611623833
"64","15060104",0.187675908613227
"65","15060105",0.205624848585128
"66","15060106",0.0737297992499913
"67","15060201",0.160881574087811
"68","15060202",0.368224807490244
"69","15060203",0.346716342617045
"70","15070101",0.139494133296091
"71","15070102",0.110194163340082
"72","15070103",0.153953511022215
"73","15070104",0.00255751714334334
"74","15070201",0.259979041934157
"75","15070202",0.00431661508227545
"76","15070203",0.0105083749310352
"77","15080101",0.0045623947685368
"78","15080102",0.0821855105155071
"79","15080103",0.0251918550191374
"80","15080200",0.0671101317647739
"81","15080301",0.195048846081657
"82","15080302",0.159855120564511
