"Site_Num","HUC8","Lat","Long","tau","p_value","sig_05","trend"
"09379200",14080204,36.943891,-109.7106684,-0.296317964792252,0.000936363881919533,1,0
"09382000",14070007,36.87220977,-111.5946052,0.307474702596664,5.96046447753906e-06,1,1
"09383100",15010001,36.2040833,-111.8007222,0.454545497894287,0.0617066621780396,0,1
"09383400",15020001,34.0167143,-109.4573125,-0.0698412731289864,0.558078169822693,0,0
"09383500",15020001,34.03032717,-109.1864707,0.0196078438311815,0.939613699913025,0,1
"09383550",15020001,34.05560438,-109.1923045,-0.0769230723381042,0.742556810379028,0,0
"09384000",15020001,34.31448635,-109.362315,0.0890390798449516,0.234959840774536,0,1
"09385500",15020002,34.36809558,-109.3828734,0.20952382683754,0.074368953704834,0,1
"09385700",15020002,34.4505935,-109.3623199,-0.290043294429779,0.0627352371811867,0,0
"09386030",15020002,34.5836456,-109.4070467,-0.530064821243286,1.55859368078382e-07,1,0
"09386250",15020003,34.6147587,-109.3184306,-0.0769230723381042,0.742556810379028,0,0
"09386300",15020002,34.6047544,-109.4892735,0.268115967512131,0.0701839923858643,0,1
"09386500",15020002,34.64170039,-109.6770533,-0.0838709697127342,0.518367528915405,0,0
"09388000",15020002,34.64725615,-109.7034425,-0.176470592617989,0.146280556917191,0,0
"09390000",15020005,34.37503945,-110.0090008,-0.466666668653488,0.0736382752656937,0,0
"09390500",15020005,34.17948755,-109.9878858,-0.00289855082519352,0.975733757019043,0,0
"09392000",15020005,34.19643165,-110.0042754,0.00510204024612904,0.965622425079346,0,1
"09392500",15020005,34.25281947,-110.0284437,-0.51111114025116,0.0490979813039303,1,0
"09394000",15020005,34.7333645,-110.0340052,-0.00952380895614624,1,0,0
"09394500",15020002,34.7828076,-110.0442837,-0.382704257965088,6.66949162564379e-08,1,0
"09395900",15020006,35.45252205,-109.126482,0.0769230872392654,0.760332345962524,0,1
"09397000",15020008,34.8978039,-110.1631768,-0.441463381052017,5.01923786941916e-05,1,0
"09397500",15020010,34.6364196,-110.7142957,-0.0338164195418358,0.747515439987183,0,0
"09398000",15020010,34.92438889,-110.5289306,-0.00709219789132476,0.950390577316284,0,0
"09398500",15020008,34.66752554,-111.0076349,0.0761099383234978,0.472687840461731,0,1
"09399000",15020008,34.96946689,-110.6451326,-0.113725490868092,0.242162585258484,0,0
"09399400",15020008,34.92141094,-110.7976357,0.134502932429314,0.441488146781921,0,1
"09400350",15020008,35.011688,-110.6512444,0.0666666701436043,0.694644451141357,0,1
"09400562",15020012,35.57972897,-110.774027,-0.20261438190937,0.255817949771881,0,0
"09400568",15020013,35.65480556,-110.563,-0.166666656732559,0.252460479736328,0,0
"09400583",15020014,35.5775087,-110.4623546,-0.16363637149334,0.533416509628296,0,0
"09401000",15020016,35.4333386,-111.200701,-0.0521008409559727,0.670076549053192,0,0
"09401110",15020017,35.78069444,-110.9304167,-0.0830769315361977,0.566590309143066,0,0
"09401260",15020018,36.10499334,-111.2018069,-0.073080487549305,0.474426567554474,0,0
"09401265",15020018,36.1715833,-111.2014444,-0.216374292969704,0.207856714725494,0,0
"09401280",15020018,36.10499334,-111.2018069,-0.102564111351967,0.669334053993225,0,0
"09401400",15020018,36.02360368,-111.3973633,-0.133333325386047,0.36237770318985,0,0
"09401500",15020018,35.92499419,-111.4215312,-0.563636422157288,0.0195174906402826,1,0
"09402000",15020016,35.9263819,-111.5673682,-0.0407017543911934,0.606022715568542,0,0
"09402300",15020016,36.1952642,-111.7771024,-0.136842086911201,0.417304158210754,0,0
"09403000",15010001,36.10303836,-112.0962798,-0.00705882348120213,0.94819176197052,0,0
"09403013",15010002,36.0785939,-112.1260026,-0.527272760868073,0.0292725171893835,1,0
"09403780",15010003,36.86387568,-112.5799203,-0.233333319425583,0.224134266376495,0,0
"09403850",15010003,36.39581624,-112.6318566,-0.276190459728241,0.165856674313545,0,0
"09404104",15010004,35.80444444,-112.4263889,0.200000002980232,0.474274396896362,0,1
"09404110",15010004,36.21946667,-112.6901,0.421538501977921,0.00272071361541748,1,1
"09404115",15010004,36.30581618,-112.761305,-0.0761904790997505,0.650581955909729,0,0
"09404200",15010002,35.7735994,-113.363544,0.322638154029846,0.0076214075088501,1,1
"09404208",15010002,35.76498839,-113.3682663,-0.232183918356895,0.0744068995118141,0,0
"09404222",15010005,35.7999,-113.65535,-0.266666650772095,0.0650313571095467,0,0
"09404343",15010007,35.38416188,-113.6577185,-0.383908063173294,0.00306033925153315,1,0
"09413700",15010010,36.92138889,-113.8313889,-0.259999960660934,0.0721243396401405,0,0
"09414900",15010010,36.90192134,-113.9335767,-0.442105233669281,0.00708386860787868,1,0
"09415000",15010010,36.8916437,-113.9244098,0.211622029542923,0.00254416465759277,1,1
"09415060",15010010,36.80988889,-114.01475,0.102941185235977,0.592301249504089,0,1
"09423650",15030101,34.7375068,-114.4902393,0.130434796214104,0.385309934616089,0,1
"09424200",15030201,35.18111629,-113.4696561,-0.153846174478531,0.502158224582672,0,0
"09424447",15030202,34.5416838,-113.4452053,-0.313333302736282,0.0298547651618719,1,0
"09424450",15030201,34.46251664,-113.6243774,-0.107769414782524,0.239140331745148,0,0
"09424900",15030203,34.305854,-113.3471441,0.0196078419685364,0.843610882759094,0,1
"09425500",15030204,34.30001995,-113.5174279,-0.175384625792503,0.217081129550934,0,0
"09426000",15030204,34.2308539,-113.6088195,0.355708539485931,1.66893005371094e-06,1,1
"09426500",15030204,34.26668248,-113.9841085,0.05882353708148,0.773080110549927,0,1
"09426620",15030204,34.2612361,-114.0289806,0.0151515156030655,0.913630127906799,0,1
"09428505",15030104,34.02779463,-114.433566,0.209273159503937,0.0218870639801025,1,1
"09428508",15030104,34.0233504,-114.4124542,0.230252102017403,0.0534342527389526,0,1
"09428510",15030104,33.99845278,-114.4563389,-0.249999970197678,0.0125058609992266,1,0
"09428511",15030104,33.99946154,-114.4455106,0.390476197004318,0.0144470930099487,1,1
"09429030",15030104,33.75696536,-114.4974554,0.084566593170166,0.424274921417236,0,1
"09429060",15030104,33.761132,-114.4855107,0.351052016019821,0.000942707061767578,1,1
"09429070",15030104,33.72951944,-114.497561,-0.626373589038849,0.00217151013202965,1,0
"09439000",15040002,32.72444444,-109.0991667,0.0457516349852085,0.820216774940491,0,1
"09442000",15040002,32.96527778,-109.3086111,0.160549312829971,0.0252516269683838,1,1
"09444200",15040004,33.29089456,-109.1961832,-0.138138145208359,0.233976304531097,0,0
"09444500",15040004,33.05604444,-109.2990167,-0.0356529243290424,0.607078969478607,0,0
"09445000",15040005,33.41283295,-109.719531,-0.0129870139062405,0.893178641796112,0,0
"09445500",15040005,33.3792231,-109.6506401,-0.419913440942764,0.00678940117359161,1,0
"09446000",15040005,33.35422488,-109.5256375,-0.428571462631226,0.00572031084448099,1,0
"09447000",15040005,33.0645062,-109.4422978,0.0983446910977364,0.201085805892944,0,1
"09447800",15040005,32.95561778,-109.5311876,0.184668973088264,0.086840033531189,0,1
"09448500",15040005,32.8827222,-109.4796056,0.0525252483785152,0.440510034561157,0,1
"09451000",15040005,32.86673068,-109.5172974,0.105413094162941,0.45296037197113,0,1
"09456000",15040006,32.22508025,-109.1756147,-0.600000023841858,0.0127313630655408,1,0
"09457000",15040006,32.8017327,-109.6392446,-0.0478723347187042,0.637593507766724,0,0
"09458200",15040005,32.73312363,-109.8164694,-0.0329670310020447,0.912814021110535,0,0
"09458500",15040005,32.8472877,-109.7159136,-0.274725258350372,0.188887432217598,0,0
