Long,Lat,Elev_M
-110.395925271999943,32.161395381000034,1305.1796875
-110.211474599999974,32.719285124000066,1201.6743164
-110.482886167999993,32.250288441000066,1370.8494873
-110.460562395999943,32.389443904000075,890.5718384
-110.145271760999947,32.663691514000050,1315.4217529
-110.251347483999950,32.708910920000051,1408.2606201
-110.214678978999984,32.318558004000067,1292.7043457
-110.560927636999963,32.627759571000070,763.6410522
-110.259577676999982,32.179754293000030,1195.5860596
-110.392941106999956,32.339857833000053,999.2430420
-110.417809637999937,32.429402075000041,957.9401245
-110.336867069999983,32.161432650000052,1119.9274902
-110.411464472999967,32.337856474000034,932.7444458
-110.541767273999938,32.540741793000052,893.1699829
-110.237051469999983,32.250833184000044,1250.6280518
-110.265631137999947,32.665078405000031,1493.7838135
-110.464304185999993,32.617465050000078,1060.7534180
-110.335862701999986,32.622507551000069,1643.5905762
-110.370174651999946,32.402951432000066,1170.6016846
-110.495449537999946,32.306144687000028,1122.1762695
-110.604397467999945,32.441822629000058,1194.2111816
-110.185567477999939,32.371940738000035,1450.8973389
-110.172696958999950,32.375220385000034,1474.7581787
-110.168958904999954,32.374077197000076,1496.8492432
-110.281760513999984,32.491499423000050,1667.0394287
-110.290611745999968,32.330617162000067,1229.8975830
-110.473122542999988,32.423815552000065,912.2711792
-110.236869071999990,32.175975410000035,1324.5043945
-110.291842947999953,32.124945540000056,1011.6304932
-110.590566716999945,32.335872125000037,1194.0240479
-110.285291625999946,32.234117864000041,1121.3724365
-110.433806020999953,32.257292224000025,1116.9000244
-110.534433143999991,32.297753416000035,1291.5797119
-110.472712407999950,32.319416783000065,984.5854492
-110.311334695999960,32.159416541000041,1061.6610107
-110.209276349999982,32.706058120000080,1216.0135498
-110.312148259999958,32.559439435000058,1532.3438721
-110.623435573999984,32.624079889000029,956.0146484
-110.254965560999949,32.415151383000079,1483.6037598
-110.304842498999960,32.471948292000036,1307.9718018
-110.549929852999981,32.606762398000058,797.7224731
-110.591285748999951,32.335842403000072,1196.4040527
-110.282229851999944,32.714731566000069,1302.4360352
-110.513667610999960,32.304907283000034,1231.9105225
-110.380328524999982,32.493495036000070,1145.5029297
-110.471399207999980,32.349515488000065,1036.4246826
-110.386931604999972,32.164418679000050,1280.5731201
-110.586753444999943,32.429383224000048,1097.8890381
-110.640303415999938,32.469010621000052,1252.0587158
-110.606223892999992,32.691339359000040,752.4045410
-110.357540918999973,32.641758448000076,1530.8802490
-110.621829376999983,32.386449828000025,1242.4476318
-110.194775656999980,32.681729710000070,1231.9094238
-110.268903317999957,32.234791842000050,1163.9060059
-110.211454092999986,32.719450139000060,1200.9820557
-110.248128154999961,32.196792499000026,1261.1336670
-110.216984229999980,32.197870795000028,1390.4101562
-110.710961258999987,32.458405819000063,1447.7227783
-110.425557443999992,32.371813614000075,949.7503662
-110.565703983999981,32.584246287000042,888.9783936
-110.545424253999954,32.323285314000032,1206.8012695
-110.655440486999964,32.391909488000067,2020.3115234
-110.235699595999961,32.250425045000043,1253.2980957
-110.538888621999945,32.600374079000062,778.5505981
-110.323618364999959,32.510794088000068,1321.0251465
-110.233749062999948,32.365774856000030,1305.3364258
-110.475327818999972,32.422131516000036,901.1755981
-110.363521584999944,32.674568263000026,1459.9512939
-110.376278465999974,32.327127249000057,1023.6828613
-110.305151928999976,32.265801691000036,1085.0195312
-110.336783534999938,32.198248289000048,1097.0697021
-110.682762505999960,32.470438722000040,1300.1771240
-110.520418030999963,32.367936573000065,1096.7050781
-110.208420438999951,32.284823547000030,1377.8809814
-110.634342270999980,32.368933013000060,1398.5671387
-110.539372264999940,32.483269839000059,955.0737915
-110.319564680999974,32.703818049000063,1433.7331543
-110.679112531999976,32.458307727000033,1484.9019775
-110.606357903999992,32.574354228000061,1018.5142822
-110.232877350999956,32.232061996000027,1299.1591797
-110.272973626999942,32.155347593000045,1111.1049805
-110.584089933999962,32.475634679000052,1092.9863281
-110.187497651999990,32.407109011000045,1545.3426514
-110.336337280999942,32.313971035000066,1096.2958984
-110.259150150999972,32.187780832000044,1204.2233887
-110.175689684999952,32.605935170000066,1401.6571045
-110.618155977999947,32.410752830000035,1274.8604736
-110.435901595999951,32.273840761000031,1084.7559814
-110.598781917999986,32.350929536000024,1169.6107178
-110.251240189999976,32.258051610000052,1219.0939941
-110.512607780999986,32.692657598000039,1042.6601562
-110.515931163999937,32.618599392000078,866.2298584
-110.276687370999980,32.231312439000078,1144.2425537
-110.561313619999964,32.692608305000078,888.9713135
-110.243447137999965,32.400177529000075,1427.9832764
-110.240682654999944,32.196899088000066,1294.0361328
-110.322327726999958,32.473714347000055,1248.2731934
-110.501861255999984,32.487901799000042,862.6722412
-110.590153303999955,32.610630831000037,890.7582397
-110.354221017999976,32.376373851000039,1077.9094238
-110.268203743999948,32.175878842000031,1143.1826172
-110.205974283999979,32.592025942000078,1417.5560303
-110.380134950999945,32.318678277000060,996.2459717
-110.415109252999969,32.246071619000077,1144.1262207
-110.554281318999983,32.347249816000044,1158.1606445
-110.150505963999990,32.699092419000067,1349.6286621
-110.625142319999952,32.477449543000034,1247.9273682
-110.635938272999965,32.559809167000026,1079.0716553
-110.429132015999983,32.575343072000067,1108.3771973
-110.235014623999973,32.342091570000036,1268.6950684
-110.330836798999940,32.313282047000030,1108.8415527
-110.301876717999960,32.614210677000074,1998.2874756
-110.350865732999978,32.171779643000036,1245.9736328
-110.199387292999972,32.322097974000030,1329.5488281
-110.624046364999970,32.396032420000040,1219.9842529
-110.236509785999942,32.160846818000039,1349.6895752
-110.596144361999961,32.477578883000035,1134.7270508
-110.289632007999955,32.122707707000075,1025.1269531
-110.241174853999951,32.195006229000057,1293.1361084
-110.143866797999976,32.320187487000055,1522.7030029
-110.599473322999984,32.512769828000046,1060.0899658
-110.139955286999964,32.380127363000042,1719.6452637
-110.440836150999985,32.303085409000062,1169.9724121
-110.533217695999952,32.422297048000075,991.0232544
-110.349909371999956,32.285219259000030,1001.0755615
-110.304845811999940,32.481092571000033,1428.9569092
-110.527023998999994,32.374271805000035,1075.4196777
-110.298317227999974,32.283210719000067,1085.2971191
-110.465957736999940,32.528603730000043,924.7875366
-110.241780644999949,32.163925870000071,1306.4511719
-110.252861205999977,32.291662698000039,1231.5467529
-110.425495498999965,32.501996018000057,1024.9210205
-110.297500698999954,32.256576130000042,1062.5728760
-110.142278686999987,32.664851789000068,1323.8883057
-110.176978510999959,32.299829529000078,1400.8560791
-110.291700510999988,32.143499281000061,1007.6752930
-110.490242289999969,32.173464407000040,1353.5992432
-110.209241109999994,32.718238510000049,1202.1356201
-110.244608168999946,32.307146766000074,1356.6851807
-110.284424736999938,32.510970385000064,1908.7738037
-110.435530550999943,32.531014417000051,1022.5184937
-110.543577403999961,32.364632107000034,1194.0670166
-110.204295207999962,32.620505457000036,1474.0191650
-110.244149996999965,32.195744199000046,1278.3602295
-110.508816875999969,32.669331944000078,1047.2055664
-110.337965220999990,32.283792627000025,1037.7415771
-110.499147295999990,32.319160677000070,1090.9940186
-110.542287439999939,32.562755627000058,868.1794434
-110.194073320999962,32.249935864000065,1361.7952881
-110.484379863999948,32.625817570000038,1035.8227539
-110.469122255999991,32.335796973000072,986.2024536
-110.329092555999978,32.198594355000068,1021.2998047
-110.266617219999944,32.381917406000071,1369.1630859
-110.394769455999949,32.288421747000029,1008.6986694
-110.437543672999993,32.717327764000061,1606.7054443
-110.155161232999944,32.694539442000064,1325.8831787
-110.306570472999965,32.393517383000074,1289.6789551
-110.686986577999960,32.669569153000054,1012.5616455
-110.750965669999971,32.683076482000047,1107.9384766
-110.196210792999977,32.247425320000048,1352.0333252
-110.420575617999987,32.299063862000025,1071.4118652
-110.724554350999938,32.447609382000053,1613.8482666
-110.637463614999945,32.466046287000040,1245.8430176
-110.615512356999943,32.371958335000045,1268.3441162
-110.211276030999954,32.696327698000061,1224.9117432
-110.454129409999950,32.289497024000070,1131.8925781
-110.301535815999955,32.115161008000030,1020.6347046
-110.271820753999975,32.120540448000042,1137.6774902
-110.490849304999983,32.478565006000053,847.5499268
-110.382537660999958,32.687968994000073,1619.4149170
-110.575740950999943,32.431392766000045,1064.5354004
-110.125123823999957,32.683408861000032,1401.8208008
-110.197960066999940,32.659560025000076,1288.3481445
-110.535200068999984,32.304146153000033,1316.3983154
-110.523786462999965,32.462892025000031,929.6848755
-110.534070873999951,32.627248299000030,827.8264160
-110.284913654999968,32.344943699000055,1278.1844482
-110.453076671999952,32.553205111000068,929.4941406
-110.503132406999953,32.700829127000077,1107.6102295
-110.573956481999971,32.579731231000039,911.1644287
-110.370941922999975,32.588294158000053,1371.1893311
-110.504504075999989,32.331128377000027,1044.1020508
-110.339875009999957,32.326000431000068,1005.0408325
-110.338592217999974,32.282363302000078,1016.4797363
-110.584245476999968,32.457081862000052,1060.2390137
-110.572335936999991,32.474471558000062,1060.1625977
-110.461380133999967,32.542998502000046,951.9924927
-110.392531455999972,32.535161535000043,1207.6386719
-110.502870379999990,32.149968509000075,1468.2667236
-110.560826865999957,32.434460977000072,1024.7241211
-110.499651230999973,32.693224051000072,1100.2194824
-110.496762245999946,32.338801888000035,1008.1453857
-110.440663115999939,32.508429265000075,984.4421997
-110.193430441999965,32.677272778000031,1243.1064453
-110.262514170999964,32.263973842000041,1173.7441406
-110.262790442999972,32.652084046000027,1499.8173828
-110.478754311999978,32.651394883000080,1097.2783203
-110.183088109999971,32.369284185000026,1434.3106689
-110.210371882999993,32.702548131000071,1225.0275879
-110.564795969999977,32.668437600000061,829.0886841
-110.486509113999944,32.573641661000067,889.9057007
-110.473281897999982,32.289098197000044,1219.4643555
-110.276379782999982,32.403942261000054,1373.8724365
-110.464317160999940,32.369979349000062,981.9672241
-110.460591830999988,32.145601739000028,1254.0452881
-110.687689944999988,32.413609738000048,1872.7982178
-110.384088390999977,32.239170055000045,1110.0269775
-110.625098813999955,32.398097604000043,1238.2170410
-110.284568341999943,32.303425389000040,1168.1356201
-110.543602975999988,32.473414769000044,976.1141357
-110.497367823999980,32.175018410000064,1381.6022949
-110.192572820999942,32.673792920000039,1244.2249756
-110.532172045999971,32.428328542000031,1011.4782104
-110.491319217999944,32.337530071000060,1006.7589722
-110.430641834999960,32.170155911000052,1202.6021729
-110.219769108999969,32.684450409000078,1314.2216797
-110.457033984999953,32.265491373000032,1234.1433105
-110.151682399999970,32.712224636000030,1361.8349609
-110.468946847999973,32.471771232000037,873.3598633
-110.300349162999964,32.145211297000060,1008.7637329
-110.535580165999988,32.524376616000040,879.6834717
-110.580117623999968,32.575866135000069,937.2675781
-110.631074924999950,32.676702574000046,801.8394775
-110.252340563999951,32.190403717000038,1236.8890381
-110.443639809999979,32.482105589000071,975.6427002
-110.631525403999945,32.414682696000057,1302.0765381
-110.287733294999953,32.355580048000036,1131.9775391
-110.371619399999986,32.339927470000077,1059.5435791
-110.125026052999942,32.379288325000061,1767.1506348
-110.255509062999977,32.376912077000043,1329.2500000
-110.140530613999942,32.310523420000038,1487.4190674
-110.834857938999960,32.718525985000042,1026.2587891
-110.294756084999960,32.280029156000069,1086.6944580
-110.233937306999962,32.230924951000077,1291.1191406
-110.286338123999940,32.209308037000028,1093.4106445
-110.478585315999965,32.546610626000074,851.0829468
-110.524683062999941,32.590133048000041,788.4493408
-110.483763959999976,32.523410167000065,863.1206665
-110.217101623999952,32.198126182000067,1390.5101318
-110.525638511999944,32.609773844000074,826.7360840
-110.473140770999976,32.318381182000053,984.0054321
-110.395679828999960,32.161961815000041,1304.4935303
-110.350960613999973,32.202240719000031,1179.6772461
-110.391830825999989,32.497322854000060,1126.2272949
-110.535381437999945,32.496270605000063,902.2468262
-110.465457432999983,32.427635665000025,896.3866577
-110.485962110999992,32.397672666000062,931.0978394
-110.445735651999939,32.570905200000027,1034.2296143
-110.841107872999942,32.702926068000068,1046.0346680
-110.631036945999938,32.412462455000025,1279.3568115
-110.510825079999961,32.580958507000048,817.2647095
-110.364030532999948,32.335413645000074,1084.9177246
-110.503660690999993,32.398570403000065,966.1821899
-110.502819446999979,32.284028163000073,1182.8920898
-110.242353476999938,32.200774128000035,1286.7741699
-110.252296035999962,32.110375881000039,1261.8022461
-110.379315174999988,32.335021140000038,1026.4760742
-110.228576469999950,32.290744233000055,1323.2145996
-110.328508035999960,32.581479494000064,1749.5332031
-110.175313110999980,32.665468167000029,1269.8168945
-110.500558439999963,32.121514386000058,1592.3264160
-110.397607970999957,32.322916125000063,938.9842529
-110.159075257999973,32.277490715000056,1449.8959961
-110.624936091999984,32.671011947000068,790.0322876
-110.376375809999956,32.655951714000025,1606.8391113
-110.321720458999948,32.652349304000040,1962.3109131
-110.341350726999963,32.163558842000043,1170.4649658
-110.225332417999994,32.394552171000043,1337.3724365
-110.148716339999964,32.637236034000068,1289.6075439
-110.268294732999948,32.664896951000060,1500.4765625
-110.420469974999946,32.428918708000026,947.9329834
-110.394703013999958,32.431340695000074,981.4682007
-110.391207878999978,32.513718394000080,1169.8817139
-110.601459437999949,32.524770138000065,1060.4208984
-110.468336656999952,32.252834512000049,1361.8664551
-110.588648904999957,32.475177700000074,1104.5488281
-110.441581984999971,32.714171020000038,1645.4060059
-110.373942046999957,32.716894542000034,1584.1044922
-110.331765657999938,32.510410856000078,1449.3330078
-110.602566480999940,32.601416768000036,952.4674072
-110.401021522999940,32.525232049000067,1141.6020508
-110.506492984999966,32.441304372000047,914.8806763
-110.262002382999981,32.147667183000067,1194.2093506
-110.562926772999958,32.440524874000062,1033.8217773
-110.589081173999944,32.555235893000031,991.7773438
-110.467576199999939,32.304142295000077,1045.4387207
-110.421741808999968,32.539691316000074,1082.9578857
-110.380054902999973,32.311831761000064,999.3889160
-110.608202672999994,32.677320422000037,740.0235596
-110.500734002999991,32.171513791000052,1421.8619385
-110.326335379999989,32.166894509000031,1105.4880371
-110.483313484999940,32.681322695000063,1145.9287109
-110.826788760999989,32.708137845000067,1048.3552246
-110.529671322999945,32.552825944000062,850.9556885
-110.177464235999992,32.344817168000077,1413.7930908
-110.558523761999993,32.373883087000024,1073.4758301
-110.441040258999976,32.302701027000069,1170.7724609
-110.329892051999991,32.222946564000040,1004.2376709
-110.433879904999969,32.253479313000071,1129.9173584
-110.381124869999951,32.287038410000036,950.9576416
-110.269261625999945,32.210377165000068,1168.4321289
-110.395207617999972,32.317394439000054,936.5156250
-110.189235312999983,32.351966225000069,1399.3631592
-110.153585347999979,32.662135210000031,1301.8732910
-110.198764986999947,32.341564590000075,1350.3883057
-110.418349587999955,32.340108810000061,923.6489258
-110.262896595999962,32.670861673000047,1474.1417236
-110.125863497999944,32.617789576000064,1311.9490967
-110.179816405999986,32.654562284000065,1256.5462646
-110.486771560999955,32.281792123000059,1157.1143799
-110.522143682999967,32.444166833000054,987.4246826
-110.523686168999973,32.379225907000034,1049.5150146
-110.235606463999943,32.659973154000056,1374.9291992
-110.336859440999945,32.198137319000068,1097.0697021
-110.740325730999984,32.541982050000058,1552.3845215
-110.580182230999981,32.498484904000065,1007.6878052
-110.175589470999967,32.713146737000045,1290.2911377
-110.227287567999952,32.652962693000063,1436.6002197
-110.394485084999985,32.273739796000029,1056.5206299
-110.385919461999947,32.233388578000074,1089.2608643
-110.502838341999961,32.349270746000059,1100.4248047
-110.135768317999975,32.716132430000073,1413.0440674
-110.748171053999954,32.442309821000038,2183.5976562
-110.251212652999982,32.573080426000047,1602.2716064
-110.340654884999992,32.579535214000032,1660.3867188
-110.255893532999949,32.400061713000071,1390.3699951
-110.393160389999991,32.258188045000054,1048.2142334
-110.417452606999973,32.339429878000033,925.2305298
-110.323538846999952,32.389241940000034,1218.3527832
-110.193495692999988,32.566611212000055,1443.4758301
-110.370070604999967,32.632537567000043,1753.8371582
-110.647018037999942,32.495956769000031,1183.1281738
-110.510141175999991,32.540735963000031,827.8098755
-110.195413257999974,32.320732655000029,1341.4114990
-110.290565711999989,32.108556820000047,1052.0236816
-110.583634663999987,32.387629420000053,1034.1354980
-110.630052504999981,32.429116644000032,1455.6732178
-110.355860417999963,32.632957818000079,1545.6105957
-110.581207689999985,32.472462680000035,1086.9719238
-110.332666363999977,32.292134862000069,1050.1972656
-110.733789390999959,32.468691363000062,1804.4029541
-110.428421854999954,32.227520936000076,1386.7016602
-110.391339869999968,32.273438620000036,1033.8580322
-110.499743520999971,32.347201036000058,1070.6074219
-110.450384924999980,32.555470568000032,938.4144287
-110.662903523999944,32.427021409000076,1522.1738281
-110.681754650999949,32.412458328000071,1749.9886475
-110.434125189999975,32.506542393000075,1000.4279785
-110.343114500999945,32.583314720000033,1604.4146729
-110.573603792999961,32.357393727000044,1110.2122803
-110.417108521999978,32.381503343000077,1011.4591675
-110.540217121999945,32.662072160000037,883.0442505
-110.593433423999954,32.389458461000061,1079.5596924
-110.534961810999960,32.288535417000048,1326.8947754
-110.249883321999960,32.599791367000080,1554.5614014
-110.670333197999980,32.430113294000080,1439.2416992
-110.460726410999939,32.311660939000035,1104.8894043
-110.603620100999990,32.314292774000023,1276.1102295
-110.561782890999950,32.628044707000072,764.9850464
-110.310361292999971,32.240997622000066,1015.4312134
-110.152705923999974,32.712199578000025,1364.4692383
-110.239228996999941,32.160984497000072,1328.6932373
-110.566513697999937,32.426932235000038,1045.5059814
-110.515527474999942,32.372911880000061,1062.0999756
-110.424070540999992,32.583385784000029,1125.5620117
-110.575008241999967,32.685700434000069,835.9562988
-110.272019026999942,32.302430931000060,1182.9207764
-110.227573039999982,32.370719608000059,1291.0090332
-110.333656034999990,32.717628885000067,1373.2993164
-110.205865739999979,32.299386973000026,1333.7022705
-110.360451308999984,32.136346762000073,1325.7161865
-110.212063861999980,32.695827012000052,1230.1917725
-110.234948788999986,32.199125987000059,1321.4880371
-110.509229107999943,32.418442027000026,886.2742920
-110.224020901999950,32.389847205000024,1377.8228760
-110.629081393999968,32.443586001000028,1322.4926758
-110.223533128999975,32.320501260000071,1277.9605713
-110.138440591999938,32.314174250000065,1513.1901855
-110.204045093999980,32.416271575000053,1573.9228516
-110.594771114999958,32.310814512000036,1300.5158691
-110.199026263999940,32.246783791000041,1350.2421875
-110.498388994999971,32.339508385000045,1008.8664551
-110.245487357999991,32.649014509000040,1452.8004150
-110.621793964999938,32.367382041000042,1290.9913330
-110.211908362999964,32.435182197000074,1582.5874023
-110.835740871999974,32.718255370000065,1029.4226074
-110.493718229999956,32.443745061000072,863.8681641
-110.497417291999966,32.428627818000052,870.8308716
-110.297640823999984,32.401860610000028,1351.3840332
-110.337054606999970,32.273382627000046,998.5830688
-110.437732016999973,32.526273549000052,1010.5441284
-110.249490787999946,32.303475603000038,1280.7985840
-110.388169363999964,32.254050737000057,994.9644165
-110.194650324999941,32.381517589000055,1511.1990967
-110.271265519999986,32.132538753000063,1134.0683594
-110.499095728999976,32.357590753000068,1106.2424316
-110.500752076999959,32.527852888000041,818.9256592
-110.510462144999963,32.418925862000037,887.4342651
-110.405929802999992,32.429150747000051,970.0248413
-110.231395793999980,32.210999238000056,1315.5678711
-110.381343684999990,32.571508356000038,1278.7993164
-110.633137993999981,32.490777117000050,1211.8112793
-110.612625640999966,32.408286726000028,1229.9674072
-110.238212805999979,32.213991062000048,1286.4232178
-110.411807868999972,32.334255499000051,930.7108154
-110.682064425999954,32.716820204000044,837.6641846
-110.516792314999975,32.605419028000028,848.9968262
-110.214793692999990,32.316096539000057,1303.6824951
-110.234545215999958,32.686039019000077,1381.9173584
-110.628537660999939,32.502885687000060,1132.5006104
-110.248250667999969,32.402904550000073,1463.3887939
-110.195155984999985,32.661611663000031,1272.6838379
-110.273592639999947,32.688918771000033,1474.9965820
-110.534375905999980,32.449234585000056,947.7291870
-110.473604870999964,32.332745381000052,981.2454224
-110.194784520999974,32.692904806000058,1226.3079834
-110.226571827999976,32.248525204000032,1281.4713135
-110.503295802999958,32.496299791000069,880.0561523
-110.549063121999950,32.678950219000058,910.4342651
-110.292051539999989,32.119699307000076,1022.9180908
-110.665770872999985,32.459513912000034,1490.8116455
-110.436837776999994,32.237894795000045,1254.0872803
-110.540931183999987,32.373538261000078,1169.9001465
-110.136468458999957,32.373961560000055,1822.2122803
-110.412643384999967,32.295195954000064,1008.8212280
-110.468836591999946,32.241821559000073,1602.7292480
-110.242524085999946,32.179276889000050,1291.9349365
-110.149382768999942,32.297417309000025,1462.0015869
-110.350904885999967,32.172014933000071,1248.0736084
