Long,Lat,Elev_M
-112.705470690999960,35.764942574000031,1705.7679443
-112.567035537999971,35.593974072000037,1719.7065430
-112.685005709999984,35.502634889000035,1828.8769531
-112.584359981999967,35.484479274000080,1740.1866455
-112.519121799999994,35.629791716000057,1679.4272461
-112.231044386999940,35.528371736000054,1789.0445557
-112.711311058999968,35.599896945000069,1869.4342041
-112.644848051999986,35.698138861000075,1706.7304688
-112.687640817999977,35.637185374000069,1785.9584961
-112.715245967999977,35.739599377000047,1708.4981689
-112.193089480999959,35.485230931000046,1829.7351074
-112.412020703999985,35.656053723000070,1704.3143311
-112.495821535999994,35.502170552000052,1726.9241943
-112.762623354999960,35.556750766000050,1981.4537354
-112.156520117999946,35.248744472000055,2089.3269043
-112.695060450999961,35.762626895000039,1703.8800049
-112.252866195999957,35.289082000000064,2043.5208740
-112.873505182999963,35.804803034000031,1823.6391602
-112.825414744999989,35.585881176000044,1854.0732422
-112.179673485999956,35.558228195000027,1832.2290039
-112.697959008999987,35.474658214000044,1891.8601074
-112.271825810999985,35.532279684000059,1758.6965332
-112.183180463999975,35.767589897000050,1828.4489746
-112.460343126999987,35.702173194000068,1668.0845947
-112.458745731999954,35.556667902000072,1772.4948730
-112.213032843999940,35.793458958000031,1802.1422119
-112.460019119999970,35.692417945000045,1668.0313721
-112.406834220999940,35.714328193000028,1674.1361084
-112.697851110999977,35.560525340000027,1836.6579590
-112.295329808999952,35.489856121000059,1828.6503906
-112.764320941999983,35.627266794000036,1886.9625244
-112.187335007999991,35.645761581000045,1784.6636963
-112.389680365999993,35.659172535000039,1698.4008789
-112.769740374999969,35.667040961000055,1942.8181152
-112.407667093999976,35.549296928000047,1753.0087891
-112.222621758999992,35.536015221000071,1808.8068848
-112.804261753999981,35.685999747000039,1874.6680908
-112.343098540999961,35.497927952000055,1833.8680420
-112.395869917999960,35.701145365000059,1696.3166504
-112.572643764999953,35.634959139000046,1698.3310547
-112.424409228999991,35.657749218000049,1696.7761230
-112.527279953999994,35.792065260000072,1706.2221680
-112.514599079999982,35.538551590000054,1703.6246338
-112.709948731999987,35.486026051000067,1839.9219971
-112.230257682999991,35.242274547000079,2087.4814453
-112.607826026999987,35.711370978000048,1695.1962891
-112.359898322999982,35.651721995000059,1727.5734863
-112.269321046999949,35.407129664000024,1890.2840576
-112.735979182999984,35.553203480000036,1909.3948975
-112.183453609999958,35.760063188000061,1825.8732910
-112.163960289999977,35.805501785000047,1844.9954834
-112.774007390999941,35.571349012000042,2003.1411133
-112.771434609999972,35.591274830000032,1969.3753662
-112.545194330999948,35.543863101000056,1697.8266602
-112.435982937999938,35.793229782000026,1652.3020020
-112.693561527999975,35.788856400000043,1723.6566162
-112.402508225999952,35.512269322000066,1775.8259277
-112.524373749999938,35.695849885000030,1676.6240234
-112.716256263999981,35.542241159000071,1878.3935547
-112.566762916999949,35.669345601000032,1688.6478271
-112.586115870999947,35.724904993000052,1689.4310303
-112.858821815999988,35.719673604000036,1820.9570312
-112.278575342999943,35.712848490000056,1762.1297607
-112.284230307999962,35.635710377000066,1712.8399658
-112.447057434999977,35.570971646000032,1741.1258545
-112.291696636999973,35.723003334000055,1740.9061279
-112.704887180999947,35.519254676000060,1806.2476807
-112.300746684999979,35.426344078000056,1824.1336670
-112.220975625999984,35.806855345000031,1805.0744629
-112.558025788999942,35.491674675000070,1719.1596680
-112.359051273999967,35.662042548000045,1710.3375244
-112.450647098999980,35.654381587000046,1706.6241455
-112.604367270999944,35.714880896000068,1692.0311279
-112.792954801999940,35.620720098000049,1908.8275146
-112.462043591999986,35.751954805000025,1683.9835205
-112.823249937999947,35.685756535000053,1847.6525879
-112.231184843999984,35.299469733000024,2028.2686768
-112.274706737999963,35.537733924000065,1755.9272461
-112.307028107999940,35.491721617000053,1826.4240723
-112.319734020999988,35.784087983000063,1797.1333008
-112.921508109999991,35.669112465000069,1908.3675537
-112.350099305999947,35.512713163000058,1824.7397461
-112.558403696999960,35.490283660000046,1719.5428467
-112.561965971999939,35.588974733000043,1715.4748535
-112.339455161999979,35.682066297000063,1730.8728027
-112.739884628999960,35.796649487000025,1718.9630127
-112.267875570999990,35.628443070000060,1716.4610596
-112.938428136999960,35.667036641000038,1929.2211914
-112.227440210999987,35.692611552000074,1772.9488525
-112.455813264999961,35.615686451000045,1708.8428955
-112.329373488999977,35.741655020000053,1801.4025879
-112.258147763999943,35.313624303000040,1987.4431152
-112.281294061999972,35.681684884000049,1762.8731689
-112.479557889999967,35.720560387000035,1690.6293945
-112.857744515999968,35.656199614000059,1873.6658936
-112.471480005999979,35.680059276000065,1681.9431152
-112.478669377999950,35.665853685000059,1674.4046631
-112.557440799999938,35.727642415000048,1709.7058105
-112.736529960999974,35.627362641000047,1927.3585205
-112.579994412999952,35.470967744000063,1744.3254395
-112.687669779999965,35.753428736000046,1702.3222656
-112.421752070999958,35.577498405000028,1761.2175293
-112.431231301999958,35.805190156000037,1651.0821533
-112.452966533999984,35.743935957000076,1661.4144287
-112.768970805999970,35.788814596000066,1725.2249756
-112.698890479999989,35.673980211000071,1796.9411621
-112.385902711999961,35.565389350000032,1744.3222656
-112.770168971999965,35.759129481000059,1726.2017822
-112.685336116999963,35.753020090000064,1703.0850830
-112.220575584999949,35.664765619000036,1764.9169922
-112.497232825999959,35.594605001000048,1685.0063477
-112.671555568999963,35.737500383000054,1699.0660400
-112.598576953999952,35.766226017000065,1712.2874756
-112.165289909999956,35.787362017000078,1838.3347168
-112.186028516999954,35.644414499000050,1793.0637207
-112.481589060999966,35.680855009000027,1668.1313477
-112.501121833999946,35.517999955000050,1723.1170654
-112.526929809999956,35.679790618000027,1677.2310791
-112.387202065999986,35.623824243000058,1718.9097900
-112.482794864999960,35.647044916000027,1699.7421875
-112.495780070999956,35.514203366000061,1726.2584229
-112.912309893999975,35.730780371000037,1826.0877686
-112.820947677999982,35.651825280000025,1851.2142334
-112.229463053999950,35.431572707000043,1854.1414795
-112.591915699999959,35.522534036000025,1772.7873535
-112.884830965999981,35.739029662000064,1793.8924561
-112.259233710999979,35.518948887000079,1772.0670166
-112.471911542999976,35.480816723000032,1785.3348389
-112.424014989999989,35.798728898000036,1662.3031006
-112.390364661999968,35.651598137000065,1704.0777588
-112.275549655999953,35.436970050000070,1846.6553955
-112.776367314999959,35.645199004000062,1882.6674805
-112.460133710999969,35.771607478000078,1685.2686768
-112.750442288999977,35.571949769000071,1972.9739990
-112.469567228999949,35.784843627000043,1701.2198486
-112.731818280999960,35.506572308000045,1836.4965820
-112.313145407999968,35.710774854000078,1741.1773682
-112.472420583999963,35.479062970000030,1800.0551758
-112.508360904999961,35.525349106000078,1717.8143311
-112.691508952999982,35.759846988000049,1703.4291992
-112.929798794999954,35.696063535000064,1881.6259766
-112.391900893999946,35.732401058000050,1705.9536133
-112.680653401999962,35.730797025000072,1699.3643799
-112.301458463999950,35.572556043000077,1795.2537842
-112.637693560999992,35.557948657000054,1802.0120850
-112.864832580999973,35.792016530000069,1823.1437988
-112.549559993999992,35.729901719000054,1698.8208008
-112.707556501999989,35.511679362000052,1810.2148438
-112.538903870999945,35.743512175000035,1689.4310303
-112.293751799999939,35.635750956000038,1760.0533447
-112.181839268999965,35.580852378000031,1823.5910645
-112.704839540999956,35.526104830000065,1814.1772461
-112.266757093999956,35.630565701000080,1722.1353760
-112.279707495999958,35.393229626000050,1849.2595215
-112.291223033999984,35.452610665000066,1800.9433594
-112.227374528999974,35.650942596000050,1774.4631348
-112.211574358999940,35.680177858000036,1780.1751709
-112.791594446999966,35.792962991000024,1731.5368652
-112.326333230999978,35.719822597000075,1779.8527832
-112.504692852999938,35.515695911000080,1717.6184082
-112.277211410999939,35.738524552000058,1750.1551514
-112.363771156999974,35.617109869000046,1728.8709717
-112.649907900999949,35.729195588000039,1694.2659912
-112.635951244999944,35.620075196000073,1838.6684570
-112.379637721999984,35.711787262000030,1695.1403809
-112.698411844999953,35.765273238000077,1704.3754883
-112.607382333999965,35.535744433000048,1776.3641357
-112.651776575999975,35.660882274000073,1730.6726074
-112.616971880999984,35.716361466000080,1693.3984375
-112.806976446999954,35.587466528000050,1887.1831055
-112.644732666999971,35.576050315000032,1807.3027344
-112.857670395999946,35.688593231000027,1844.9301758
-112.158919275999949,35.802069237000069,1867.5568848
-112.701830720999965,35.764082313000074,1704.6800537
-112.280443969999965,35.316698669000061,1964.7346191
-112.533258183999976,35.639864185000079,1698.0125732
-112.260896152999976,35.791688802000067,1770.6527100
-112.598627142999987,35.515556012000047,1765.4263916
-112.336413309999955,35.807033735000061,1798.0065918
-112.165555941999969,35.692147688000034,1803.6729736
