HUC8,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
15030202,305.3,315.31,266.53,284.3,959.96,518.75,457.9,516.61,442.12,337.89,535.99,445.03,384.08,443.52,512.41,534.19,399.66,487.35,632.91,460.52,456.11,452.41,469.16,289.1,383.51,444.14,619.38,241.98,281.63,464.44,635.15,397.77,321.03,316.32,471.8,463.6,418.84,392.61,407.4,496.24,653.85,237.87,364.01,440.23,381.88,427.82,263.94,281.09,416.8,227.73,561.24,491.51,264.98,414.52,396.12,149.13,510.45,465.01,435.76,322.39,332.3,336.36,425.59,345,756.37,319.85,452.56,324.34,463.57,435.24,359.15,435.88,365.39,377.77,299.12,438.25,334.14,757.34,414,597.08,415.87,575.61,663.54,493.22,454.71,467.7,501.37,404.84,257.7,472.09,513.7,684.61,699.21,378.77,439.11,247.99,443.59,566.61,323.03,414.53,442.05,148.23,391.41,572.7,475.98,326.12,251.75,464.43,245.94,504.55,292.18,304.7,372.5,359.14,417.8,453.27,353.39,292.29,590.97,197.4,399.78,390.29,424.8
15030203,230.04,280.34,246.21,265.26,829.77,502.12,370.18,447.24,412.79,289,475.59,449.77,320.86,425.74,483.18,502.4,362.66,463,586.26,427.36,442.94,407.8,483.81,229.97,352.9,436.35,559.01,228.67,252.61,447.51,610.03,392.69,331.95,298.72,451.14,406.97,365.37,349.17,360.87,435.44,602.6,213.51,336.08,375.06,334.64,380.59,230.94,265.32,382.71,204.36,527.9,454.01,237.12,365.13,374.33,127.41,436.26,427.7,420.29,272.08,284.22,297.47,403.16,293.71,683.34,301.39,433.08,309.96,414.75,405.79,345.62,409.4,312.9,348.08,248.76,391.11,301.98,688.06,359.76,489.49,396.59,547.23,576.27,463.56,413.59,403.79,438.83,381.08,249.51,416.24,434.53,595.63,580.92,337.14,395.72,214.49,404.27,489.44,314.91,380.36,322.72,128.92,366.21,467.48,404.69,241.12,258.06,397.83,197.51,431.66,249.4,286.69,323.62,340.79,394.63,405.38,347.31,287.83,518.47,202.61,387.3,380.03,373.38
15030204,144.2,157.49,119.31,165.47,484.8,276.95,246.61,269.76,258.94,191.89,259.19,236.6,183.15,279.48,298.38,313.96,216.83,298.83,370.29,276.25,295.19,239.99,282.29,118.28,209.63,306.26,302.56,124.53,150.37,245.46,396.16,225.27,185,165.92,294.21,228.33,226.39,219.08,288.23,267.39,420.38,126.17,204.56,232.72,198,224.7,129.09,148.35,192.78,106.16,335.09,300.24,123.67,237.26,239.2,58.03,267.47,238.34,263.91,161.62,143.16,172.25,220.98,153.74,373.6,162.74,238.64,140.83,226.69,228.58,151.21,227.54,179.23,182.48,125.96,254.56,145.8,429.75,231.47,294.96,218.39,335.03,377.99,263.71,226.35,254.12,215.05,239.26,146.96,218.11,220.92,374.12,357.45,177.09,216.22,83.71,216.27,310.99,164.38,200.59,184.91,62.05,247.93,344.8,299.64,116.31,134.43,217.19,92.12,235.1,155.45,162.62,199.58,202.78,197.28,215.32,161.59,140.79,290.86,109.67,192.01,201.67,200.37
15040007,348.13,313.15,253.88,283.64,829.84,463.59,458.51,479.78,372.4,263.21,512.99,422.49,372.45,566.3,528.64,574.82,339.48,455.43,587.39,419.05,409.9,392.55,487.39,232.6,379.62,486.72,444.57,337.79,346.46,482.8,595.31,433.29,364.76,306.99,490.3,454.97,353.56,352.9,361.66,577.51,693.73,343.68,387.85,431.01,339.94,421.99,285.27,281.07,389.58,229.65,509.07,486.05,252.02,451.82,423.55,229.04,483.7,506.18,499.34,321.88,394.41,366.17,423.38,350.03,621.76,360.05,505.46,416.67,378.49,367.98,403.22,487.98,368.72,387.89,358.54,359.89,358.46,748.76,467.57,538.79,382.18,558.88,696.91,575.99,469.6,502.93,423.87,448.22,276.17,525.65,492.16,686.83,640.4,531.53,352.92,338.99,392.53,432.78,333.62,419.19,392.79,229.87,377.28,379.84,431.93,335.05,375.57,520.67,259.2,494.96,295.72,310.41,344.94,369.02,454.54,381.53,269.38,345.52,480.46,188.93,414.65,416.83,361.89
15060101,552.18,537.75,416.06,430.43,1199.19,743.75,624.49,639.47,568.91,440.14,678.63,551.35,489.7,695.87,720.9,832.88,476.26,666.75,718.96,577.07,538.25,585.1,704.53,481.72,572.48,668.62,673.68,531.12,577.14,647.59,874.57,647.95,552.01,539.91,684.11,620.29,561.48,569.35,494.5,779.72,987.95,493.89,553.19,605.89,462.92,582.33,458.88,445.33,603.95,311.02,639.96,719.27,371.85,583.26,512.53,347.74,712.61,715.46,630.71,455.42,588.57,500.31,567.73,536.23,825.85,483.89,699.23,539.7,555.09,499.49,582.57,658.12,586.78,560.7,592.23,529.21,552.58,971.08,683.9,754.32,543.41,817.25,924.82,747.78,692.78,760.17,648.84,639.3,397.69,732.49,724.41,839.22,698.99,744.74,536.81,539.16,587.27,578.54,530.78,561.07,549.06,499.68,552.8,538.54,592.49,576.49,609.94,717.32,420.27,680.48,492.82,432.3,592.22,484.51,658.25,534.93,421.47,492.85,690.91,351.23,557.65,625.59,484.77
15060102,662.26,613.25,464.48,498.16,1369.35,862.25,736.34,698.87,660.87,521.98,789.29,712.77,490.22,691.61,828.93,987.98,551.32,740.15,832.49,668.43,619.37,684.66,837.96,609.22,605.72,678.39,782.6,543.57,608.61,748.77,961.48,674.49,593.01,572.35,795.72,730.42,678.34,707.79,546.63,807.03,1106.78,549.26,596.02,671.27,556.55,716.64,621,535.3,719.2,373.36,753.95,881.1,445.92,700.19,633.03,425.04,839.56,786.2,701.07,525.98,676.93,599.15,614.37,651.64,1032.02,544.45,784.94,624.53,639.92,589.89,714.37,683.69,709.86,635.16,676.14,663.26,649.1,1136.11,768.68,901.63,639.28,937.58,1029.47,781,797.12,803.36,731.79,746.56,459.55,767.85,861.01,943.76,784.41,819.34,672.36,587.8,675.31,673.44,594.49,645.62,634.69,532.46,621.98,644.92,709.73,644.81,699.95,786.28,468.07,775,575.33,508.58,675.5,557.75,746.27,620.38,503.97,574.09,762.12,417.46,652.85,729.19,572.57
15060103,406.91,415.19,301.43,325.43,1116.94,611.09,543.38,582.4,483.64,344.21,621.37,513.45,463.03,643.1,671.45,730.17,450.35,599.84,739.27,560.19,532.15,541.15,621.91,356,488.45,593.87,621.15,403.7,450.55,595.71,795.63,511.55,459.6,400.35,597.38,597.32,472.53,488.7,422.71,675.68,817.52,414.65,501.78,541.44,435.26,525.72,382.01,342.42,491.9,280.52,634.02,608.51,319.75,515.24,487.8,275.8,611.17,578.35,593.63,399.57,442.71,449.01,505.9,423.95,800.55,413.48,588.77,471.41,505.93,431.03,479.4,575.59,482.03,472.02,449.88,482.22,451.85,945.99,545.19,700.75,495.04,726.25,790.29,640.39,603.49,571.57,524.54,546.01,376.18,568.34,607.69,837.84,809.49,613.13,499.81,419.59,505.75,563.82,401.11,491.29,478.35,250.47,472.44,479.39,534.25,364.32,473.88,664.54,308.57,652.43,388.6,358.02,483.74,435.1,571.44,454.11,361.39,393.01,607.02,239.27,505.38,458.67,471.62
15060104,449.09,431.64,358.46,346.88,1015.14,612.15,543.94,511.8,456.6,345.86,584.39,503.56,411.46,535.57,623.22,682.66,412.93,503.2,719.23,527.6,488.61,524.16,627.68,402.98,454.81,517.6,569.8,412.25,466.45,545.81,726.33,467.06,498.02,427.52,549.66,552.62,480.39,533.83,373.94,612.38,768.84,371.78,466.43,484.92,392.47,487.77,458.48,355.92,533.43,274.19,558.01,594.27,329.15,475.48,436.51,295.25,589.16,556.58,580.74,384.61,489.46,445.56,453.87,440.11,706.59,399.59,584.54,423.3,491.48,417.35,514.83,559.7,450.64,461.04,424.66,472.67,484.19,822.79,479.88,607.56,455.62,650.14,668.35,625.94,596.14,558.95,532.39,570.27,349.13,526.59,545.64,701.53,607.56,561.96,457.45,412.67,507.54,500.16,371.13,478.88,458.62,325.81,449.55,447.04,491.05,420.01,499.8,556.5,292.65,572.34,417.64,360.94,497.89,463.59,607.6,456.34,348.3,409.02,568.49,290.64,484.69,499.69,423.57
15060105,384.8,420.99,305.17,336.21,1244.77,664.89,599.77,664.22,556.65,383.59,658.01,571.28,557.9,699.15,734.3,769.47,558.2,660.86,767.21,613.87,595.54,626.04,690.3,401.22,545.09,649.69,731.16,412.22,471.06,648.38,891.77,541.91,454.91,423.61,641.76,594.11,528.39,529.08,481.29,731.68,841.82,423.06,528.06,592.71,484.74,595.45,428.67,387.08,574.97,319.85,712.29,704.79,339.64,542.08,550.26,282.35,714.26,621.85,640.78,428.47,475.46,461.05,546.75,439.68,921.76,440.49,626.79,494.2,556.75,505.52,478.63,613.58,525.12,481.21,482.65,545.66,485.54,1030.73,572.47,792.75,564.84,821.69,866.64,633.84,668.23,576.67,556.44,556.81,402.86,557.17,655.4,915.49,915.59,593.67,559.35,424.77,540.32,625.92,453.41,502.92,504.25,255.39,520.88,549.52,578.95,353.03,493.8,670.95,339.37,747.39,422.2,373.55,562.11,443.71,590.22,495.49,448.19,433.22,675.08,279.08,575.68,455.62,519.76
15070104,148.02,149.15,123.34,151.37,467.61,246.84,225.82,261.15,252.24,157.85,237.24,204.66,184.71,269.24,272.58,265.61,212.79,281.04,302.12,237.45,218.97,198.01,301.36,101.05,191.11,293.9,242.36,114.91,129.53,235.43,347.22,227.46,182.04,151.45,303.84,212.02,207.04,176.02,247.13,223.85,426.45,134.61,197.42,226.58,175.86,224.62,116.59,132.31,186.83,102.85,322.08,266.36,103.74,164.73,210.58,58.94,224.56,191.75,229.21,117.83,127.41,155.67,184.95,155.21,347.19,174.74,247.2,147.29,204.21,203.77,155.22,195.58,150.82,190.9,122.64,205.01,127.27,374.86,210.88,230.55,189.07,320.96,348.88,270.87,207.05,197.55,193.04,213.65,130.22,205.43,186.85,342.58,331.94,164.47,175.22,76.85,168.81,271.48,172.21,219.09,155.07,74.19,243.66,264.41,248.63,100.65,145.65,191.09,76.59,244.16,117.85,131.45,226.39,183.79,177.52,169.87,162.89,168.37,273.75,129.6,193.83,187.43,146.66
