"","HUC8","Site_Num","Long","Lat","PROVINCE"
"86",15060203,9508000,-111.6815278,34.2635583,"BASIN AND RANGE"
"87",15060202,9505300,-111.6737629,34.76696436,"COLORADO PLATEAUS"
"88",15060202,9505200,-111.672094,34.67474409,"BASIN AND RANGE"
"89",15060203,9511300,-111.6693043,33.5586557,"BASIN AND RANGE"
"90",15060203,9507500,-111.6662568,34.3683626,"BASIN AND RANGE"
"91",15060203,9510000,-111.6634729,33.80837509,"BASIN AND RANGE"
"92",15060203,9507980,-111.6387561,34.27642068,"BASIN AND RANGE"
"93",15060203,9507480,-111.63,34.39430556,"BASIN AND RANGE"
"94",14070007,9382000,-111.5946052,36.87220977,"COLORADO PLATEAUS"
"95",15060106,9502000,-111.5765243,33.55282304,"BASIN AND RANGE"
"96",15020016,9402000,-111.5673682,35.9263819,"COLORADO PLATEAUS"
"97",15060203,9510200,-111.541802,33.69421054,"BASIN AND RANGE"
"98",15060203,9510070,-111.4873585,33.96059568,"BASIN AND RANGE"
"99",15060203,9510080,-111.4854139,33.9458737,"BASIN AND RANGE"
"100",15060203,9510100,-111.4615245,33.94948498,"BASIN AND RANGE"
"101",15060203,9510150,-111.45319,33.85143118,"BASIN AND RANGE"
"102",15020018,9401500,-111.4215312,35.92499419,"COLORADO PLATEAUS"
"103",15050304,9486800,-111.4042694,31.83897238,"BASIN AND RANGE"
"104",15020018,9401400,-111.3973633,36.02360368,"COLORADO PLATEAUS"
"105",15060203,9507700,-111.3729165,34.41114028,"BASIN AND RANGE"
"106",15050304,9486590,-111.34975,31.58355556,"BASIN AND RANGE"
"107",15050304,9487000,-111.3387156,32.07563364,"BASIN AND RANGE"
"108",15050303,9486520,-111.3076074,32.47145874,"BASIN AND RANGE"
"109",15060105,9499000,-111.3034659,33.9800413,"BASIN AND RANGE"
"110",15060105,9499500,-111.3006866,33.8667103,"BASIN AND RANGE"
"111",15060105,9498870,-111.292355,34.0333735,"BASIN AND RANGE"
"112",15060203,9507580,-111.2637469,34.41780739,"BASIN AND RANGE"
"113",15060105,9498800,-111.2554106,34.1289271,"BASIN AND RANGE"
"114",15020018,9401265,-111.2014444,36.1715833,"COLORADO PLATEAUS"
"115",15020016,9401000,-111.200701,35.4333386,"COLORADO PLATEAUS"
"116",15050301,9486500,-111.0945447,32.3511849,"BASIN AND RANGE"
"117",15050301,9486350,-111.0420429,32.33618529,"BASIN AND RANGE"
"118",15050301,9481740,-111.0414792,31.61286778,"BASIN AND RANGE"
"119",15050302,9486055,-111.0120406,32.30340807,"BASIN AND RANGE"
"120",15060103,9498501,-111.0095609,33.41866469,"BASIN AND RANGE"
"121",15050301,9486300,-111.0092662,32.3742403,"BASIN AND RANGE"
"122",15020008,9398500,-111.0076349,34.66752554,"COLORADO PLATEAUS"
"123",15060103,94985005,-110.9986111,33.4058333,"BASIN AND RANGE"
"124",15060103,9498502,-110.9953942,33.4878297,"BASIN AND RANGE"
"125",15050301,9482400,-110.9817587,32.15257754,"BASIN AND RANGE"
"126",15050100,9474000,-110.9765014,33.1028404,"BASIN AND RANGE"
"127",15050302,9485850,-110.9612047,32.2886862,"BASIN AND RANGE"
"128",15060103,9498503,-110.9598111,33.79694444,"BASIN AND RANGE"
"129",15050301,9483000,-110.9489799,32.21674295,"BASIN AND RANGE"
"130",15050301,9481000,-110.9316722,31.3432722,"BASIN AND RANGE"
"131",15020017,9401110,-110.9304167,35.78069444,"COLORADO PLATEAUS"
"132",15060103,9497900,-110.92429,34.0828216,"BASIN AND RANGE"
"133",15060103,9498500,-110.9215037,33.6194949,"BASIN AND RANGE"
"134",15050302,9485700,-110.9145354,32.2714643,"BASIN AND RANGE"
"135",15060103,9498400,-110.9012251,33.5731068,"BASIN AND RANGE"
"136",15060103,9497980,-110.8562266,33.8278262,"BASIN AND RANGE"
"137",15050301,9480500,-110.851474,31.3445443,"BASIN AND RANGE"
"138",15050302,9484500,-110.841199,32.26535338,"BASIN AND RANGE"
"139",15050302,9485450,-110.829531,32.2206319,"BASIN AND RANGE"
"140",15050301,9481500,-110.8181418,31.49981633,"BASIN AND RANGE"
"141",15050302,9484000,-110.8109167,32.3147222,"BASIN AND RANGE"
"142",15050302,9484200,-110.8014776,32.3061867,"BASIN AND RANGE"
"143",15020008,9399400,-110.7976357,34.92141094,"COLORADO PLATEAUS"
"144",15020012,9400562,-110.774027,35.57972897,"COLORADO PLATEAUS"
"145",15050203,9473500,-110.770383,32.97728817,"BASIN AND RANGE"
"146",15050100,9470000,-110.7659386,33.0017324,"BASIN AND RANGE"
"147",15020010,9397500,-110.7142957,34.6364196,"COLORADO PLATEAUS"
"148",15050302,9484580,-110.691193,31.86175124,"BASIN AND RANGE"
"149",15050302,9483100,-110.6800822,32.24674194,"BASIN AND RANGE"
"150",15050302,9484600,-110.6775818,32.0359141,"BASIN AND RANGE"
"151",15020008,9400350,-110.6512444,35.011688,"COLORADO PLATEAUS"
"152",15020008,9399000,-110.6451326,34.96946689,"COLORADO PLATEAUS"
"153",15050203,9473000,-110.6301,32.84423324,"BASIN AND RANGE"
"154",15050302,9485000,-110.625914,32.12952258,"BASIN AND RANGE"
"155",15050301,9480000,-110.5895264,31.35537817,"BASIN AND RANGE"
"156",15050302,9484550,-110.57,31.86555556,"BASIN AND RANGE"
"157",15020013,9400568,-110.563,35.65480556,"COLORADO PLATEAUS"
"158",15060103,9497800,-110.5576092,33.8431053,"BASIN AND RANGE"
"159",15050100,9469500,-110.5312109,33.1695055,"BASIN AND RANGE"
"160",15020010,9398000,-110.5289306,34.92438889,"COLORADO PLATEAUS"
"161",15060103,9497500,-110.4998292,33.79810588,"BASIN AND RANGE"
"162",15020014,9400583,-110.4623546,35.5775087,"COLORADO PLATEAUS"
"163",15040007,9468500,-110.4514876,33.29644678,"BASIN AND RANGE"
"164",15050203,9472000,-110.446471,32.380628,"BASIN AND RANGE"
"165",15050202,9471380,-110.4020472,31.63201389,"BASIN AND RANGE"
"166",15050202,9471310,-110.3872222,31.51805556,"BASIN AND RANGE"
