HUC8,NAME,AREA_KM2,SLOPE_DEGREES,SOIL_A_PERCENT,SOIL_B_PERCENT,SOIL_C_PERCENT,SOIL_D_PERCENT,SOIL_A_D_PERCENT,SOIL_B_D_PERCENT,SOIL_C_D_PERCENT,LC_UNCLASSIFIED_PERCENT,LC_OPEN_WATER_PERCENT,LC_DEVELOPED_OPEN_SPACE_PERCENT,LC_DEVELOPED_LOW_INTENSITY_PERCENT,LC_DEVELOPED_MEDIUM_INTENSITY_PERCENT,LC_DEVELOPED_HIGH_INTENSITY_PERCENT,LC_BARREN_LAND_PERCENT,LC_DECIDUOUS_FOREST_PERCENT,LC_EVERGREEN_FOREST_PERCENT,LC_MIXED_FOREST_PERCENT,LC_SHRUB_PERCENT,LC_HERBACEOUS_PERCENT,LC_HAY_PASTURE_PERCENT,LC_CULTIVATED_CROPS_PERCENT,LC_WOODY_WETLANDS_PERCENT,LC_EMERGENT_HERBACEOUS_WETLANDS_PERCENT,KARST_PERCENT,IGNEOUS_INTRUSIVE_PERCENT,SEDIMENTARY_CLASTIC_PERCENT,METAMORPHIC_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,METAMORPHIC_SCHIST_PERCENT,SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_VOLCANIC_PERCENT,METAMORPHIC_UNDIFFERENTIATED_PERCENT,UNCONSOLIDATED_UNDIFFERENTIATED_PERCENT,IGNEOUS_UNDIFFERENTIATED_PERCENT,METAMORPHIC_GNEISS_PERCENT,METAMORPHIC_VOLCANIC_PERCENT,METAMORPHIC_SEDIMENTARY_CLASTIC_PERCENT,ASPECT_FLAT_PERCENT,ASPECT_NORTH_PERCENT,ASPECT_SOUTH_PERCENT
15020014,Jadito Wash,2432.4927,3.2347,0.6459,0.3397,0.2167,0.2719,0,0,0,0,0,0.0047,0.0016,0.0004,0,0.0005,0,0.0378,0,0.8127,0.1393,0,0,0.001,0.0019,0.1957,0,0.752,0,0,0,0.0909,0.1151,0,0.0419,0,0,0,0,0.0014,0.4908,0.5077
15020015,Canyon Diablo,3106.5509,4.0315,0.0016,0.5349,0.1566,0.784,0,0,0,0,0.0039,0.0119,0.0095,0.0098,0.0035,0.0025,0.0025,0.4027,0.0001,0.3546,0.1906,0,0,0.0033,0.0053,0.69,0,0.0652,0,0,0,0.4533,0.4497,0,0.0304,0,0,0,0,0.0046,0.5604,0.435
15020016,Lower Little Colorado,6201.8726,5.0441,0.1241,0.2529,0.1485,0.9133,0,0,0,0,0.0002,0.0014,0.0012,0.0009,0.0002,0.0176,0.0012,0.1362,0.0001,0.5769,0.2613,0,0,0.0029,0.0001,0.6747,0,0.3382,0,0,0,0.3368,0.2603,0,0.0644,0,0,0,0,0.0024,0.524,0.4735
15020017,Dinnebito Wash,2121.5785,3.5159,0.4579,0.0521,0.4871,0.3951,0,0,0,0,0,0.0025,0.0005,0.0002,0,0.0052,0,0.1084,0,0.6654,0.2154,0,0,0.0014,0.001,0.0627,0,0.5296,0,0,0,0.3481,0,0,0.1223,0,0,0,0,0.0027,0.4667,0.5307
15020018,Moenkopi Wash,6868.4677,4.4285,0.5711,0.2034,0.2044,0.3494,0.0001,0,0,0,0.0001,0.0036,0.0009,0.0003,0.0001,0.0096,0,0.0629,0,0.8279,0.0926,0,0,0.0016,0.0004,0.0989,0,0.649,0,0,0,0.2875,0.0021,0,0.0613,0,0,0,0,0.0076,0.4354,0.557
15030101,Havasu-Mohave Lakes,3134.4302,8.9567,0.5321,0.1266,0.0248,0.6258,0,0,0,0,0.0336,0.0083,0.0219,0.0233,0.0048,0.0194,0,0.0002,0,0.8232,0.0235,0.0002,0.0206,0.0109,0.0099,0.0814,0.0791,0.0849,0,0.0526,0,0,0.2868,0.0893,0.3746,0.0106,0,0,0,0.0234,0.4394,0.5349
15030103,Sacramento Wash,3449.4374,7.439,0.3883,0.1181,0.2784,0.6554,0,0,0,0,0,0.0274,0.0056,0.0012,0.0005,0.0076,0.0015,0.0582,0.0001,0.8967,0.0008,0,0,0.0003,0,0,0.1671,0.0234,0,0.0016,0,0,0.1642,0.0921,0.5516,0,0,0,0,0,0.4069,0.5931
15030104,Imperial Reservoir,3944.1784,6.4766,0.5778,0.2049,0.1603,0.3057,0.0016,0,0,0,0.0075,0.0061,0.0037,0.0021,0.0006,0.1735,0.0003,0,0.0001,0.669,0.0119,0.0064,0.0938,0.0178,0.007,0.0087,0.0611,0.086,0.0058,0.02,0.0058,0,0.2383,0.0029,0.5651,0.0037,0.014,0,0,0.0014,0.5042,0.4927
15030105,Bouse Wash,4185.2981,4.1147,0.7498,0.0885,0.1513,0.4551,0,0,0,0,0.0001,0.0047,0.0026,0.001,0.0002,0.1634,0,0,0,0.7628,0.0535,0.0004,0.0109,0.0001,0.0003,0.0116,0.0696,0.0781,0,0.0171,0,0,0.1426,0.0167,0.6442,0,0.0272,0,0,0.0015,0.5816,0.4169
15030106,Tyson Wash,1850.4345,5.2162,0.8649,0.0573,0.062,0.4093,0,0,0,0,0,0.0034,0.0037,0.0027,0.0005,0.2785,0,0,0,0.698,0.0132,0,0,0,0,0.0216,0.0563,0.1085,0,0.0188,0,0,0.1295,0.0033,0.6662,0.0004,0.0092,0,0,0.0008,0.661,0.3383
15030107,Lower Colorado,184.1355,2.1598,0.41,0.5303,0.2007,0.0002,0,0,0,0.0109,0.0225,0.0375,0.027,0.025,0.0107,0.1503,0.0002,0,0.0002,0.1961,0.0258,0.013,0.4014,0.0555,0.0225,0,0,0.102,0,0.0879,0,0,0.002,0.0742,0.7307,0,0,0,0,0.0112,0.5057,0.4707
15030108,Yuma Desert,1634.1576,2.1504,0.939,0.2148,0.1743,0.0812,0,0,0,0.0002,0,0.0251,0.0213,0.0242,0.0083,0.5771,0,0,0,0.1176,0.0379,0.0006,0.1879,0,0,0,0.0748,0,0,0,0,0,0,0.0097,0.9155,0,0,0,0,0.0171,0.4351,0.5467
15030201,Big Sandy,5576.2104,9.8418,0.1207,0.0171,0.3285,0.9262,0,0,0,0,0,0.0041,0.0008,0.0002,0,0.0003,0.0028,0.1441,0.0002,0.833,0.0122,0,0,0.002,0.0002,0.0828,0.2861,0.202,0,0,0,0.0777,0.2384,0.0221,0.1737,0,0,0,0,0.0002,0.4609,0.5389
15030202,Burro,1846.9121,11.1704,0.0429,0.0848,0.129,0.9455,0,0,0,0,0.0003,0.0021,0.0007,0.0003,0.0001,0.008,0,0.1831,0.0001,0.7903,0.0137,0,0,0.001,0.0004,0.0198,0.2696,0.1196,0,0,0,0.0038,0.5861,0.0038,0.0117,0,0,0.0053,0,0.0003,0.4721,0.5276
15030203,Santa Maria,3710.8917,9.8993,0.1322,0.3646,0.2235,0.4994,0,0,0.0015,0,0,0.0049,0.0013,0.0003,0,0.0008,0.0001,0.067,0,0.9066,0.0145,0.0003,0.0008,0.003,0.0003,0.0502,0.3814,0.3202,0,0,0,0,0.208,0.0294,0.0345,0,0,0.0265,0,0.0003,0.4745,0.5252
15030204,Bill Williams,2783.021,7.7717,0.5322,0.0269,0.0875,0.6818,0.0058,0,0.0003,0,0.0046,0.001,0.0002,0.0002,0.0001,0.0048,0.0001,0.0019,0,0.9775,0.0035,0.0002,0.0005,0.0047,0.0007,0.0834,0.1654,0.2541,0,0.0323,0,0,0.096,0.0479,0.2459,0,0.129,0,0,0.0052,0.452,0.5428
15040002,Upper Gila-Mangas,1381.1169,9.1841,0.0219,0.0072,0.7457,0.4372,0,0,0.0001,0,0.0002,0.0042,0.0067,0.0017,0.0002,0.0017,0,0.0215,0,0.893,0.0584,0.0014,0.0097,0.0013,0.0003,0.0236,0.0031,0.4077,0,0,0,0.0021,0.4204,0,0.1664,0,0,0,0,0.0005,0.4978,0.5002
15040003,Animas Valley,44.5838,13.3763,0.0197,0.12,0.0267,1.2375,0,0,0,0,0,0,0,0,0,0,0,0.0061,0.0005,0.9227,0.0705,0,0,0,0,0,0,0,0,0,0,0,0.8714,0,0.123,0,0,0,0,0,0.544,0.4442
15040004,San Francisco,2429.6698,18.0217,0.0002,0.3233,0.679,0.3651,0,0,0.0027,0,0.0009,0.0044,0.0018,0.0015,0.0003,0.0189,0.0012,0.5548,0.0004,0.391,0.0214,0,0.0001,0.0018,0.0014,0.0292,0.0287,0.2523,0,0,0,0.0148,0.6771,0.002,0.0229,0,0,0,0,0.0003,0.4542,0.5441
15040005,Upper Gila-San Carlos Reservoir,7171.8005,11.832,0.0881,0.1173,0.388,0.6927,0,0,0,0,0.002,0.0051,0.0035,0.0015,0.0004,0.0017,0,0.1895,0,0.7131,0.0527,0,0.0178,0.0094,0.0033,0.1223,0.0975,0.2733,0,0,0,0.004,0.347,0.0491,0.2121,0.0002,0,0,0,0.0064,0.5019,0.4917
15040006,San Simon,5221.9154,6.4843,0.2123,0.0994,0.5481,0.5154,0,0,0,0,0.0001,0.0052,0.0013,0.0005,0.0001,0.0087,0,0.0461,0.0078,0.7582,0.1356,0.0001,0.0344,0.0017,0.0003,0.1267,0.0533,0.1359,0,0,0,0.0179,0.23,0.0143,0.5308,0.0118,0,0,0,0.001,0.601,0.3975
15040007,San Carlos,2786.7069,10.1298,0.156,0.0448,0.2853,0.9345,0,0,0,0,0.0003,0.0048,0.0022,0.0004,0.0001,0,0,0.1226,0,0.7719,0.091,0,0.0004,0.0042,0.002,0.2516,0.131,0.2114,0,0.0005,0,0.0154,0.3391,0.0077,0.1784,0.0001,0,0,0,0.005,0.4483,0.5467
15050100,Middle Gila,8508.0702,6.442,0.2148,0.1204,0.5261,0.4683,0,0,0.0025,0,0.0009,0.0283,0.0297,0.0332,0.0095,0.0078,0,0.0086,0,0.7297,0.0605,0.0014,0.0787,0.0104,0.0014,0.1782,0.1295,0.0871,0,0.0094,0,0.0266,0.1007,0.0578,0.552,0,0.0005,0,0,0.007,0.536,0.4569
15050201,Willcox Playa,4284.533,5.7962,0.1458,0.0268,0.7124,0.4621,0,0,0,0,0.0004,0.0169,0.0015,0.0011,0.0004,0.0336,0.0001,0.0719,0.0021,0.5338,0.2311,0.0003,0.1068,0,0.0001,0.2321,0.0459,0.0676,0,0,0,0.009,0.1549,0.0418,0.6506,0.0167,0,0,0,0.0082,0.4523,0.5395
15050202,Upper San Pedro,4631.4277,6.0907,0.1752,0.1266,0.5703,0.5043,0,0,0,0.0003,0.0001,0.0202,0.0061,0.0044,0.001,0.0003,0.0003,0.0593,0.0016,0.7241,0.1751,0.0004,0.0029,0.0031,0.0007,0.1,0.0821,0.3629,0,0.0155,0,0.082,0.0257,0.0208,0.3993,0,0,0,0,0.0001,0.506,0.4936
15050203,Lower San Pedro,5133.3568,12.183,0.2171,0.094,0.236,0.8126,0,0,0.0008,0,0,0.003,0.0013,0.0003,0.0001,0.0022,0.0001,0.0838,0.0001,0.8742,0.0251,0.0002,0.001,0.0082,0.0005,0.0676,0.1376,0.4654,0,0,0,0.0153,0.2219,0.0254,0.0876,0,0.0002,0,0,0.0011,0.5051,0.4938
15050301,Upper Santa Cruz,5771.9821,8.3105,0.189,0.0669,0.5281,0.5039,0,0,0,0.0001,0.0009,0.0357,0.0322,0.0261,0.0085,0.0183,0.0007,0.0686,0.0009,0.693,0.1076,0.0008,0.004,0.0016,0.0008,0.1648,0.1528,0.2526,0,0.0296,0,0.0073,0.1516,0.0027,0.3898,0,0,0,0,0.0006,0.5345,0.4646
15050302,Rillito,2384.9426,10.0214,0.0844,0.2058,0.3833,0.7093,0,0,0,0,0.0001,0.0286,0.0463,0.0411,0.0099,0.0018,0.0003,0.0891,0.001,0.6201,0.1595,0,0,0.0018,0.0005,0.1396,0.2513,0.355,0,0.0106,0,0.0208,0.0169,0.0051,0.222,0,0.0844,0,0,0,0.5164,0.4836
15050303,Lower Santa Cruz,4357.8218,2.3897,0.3842,0.1499,0.6383,0.2246,0,0,0,0,0.0004,0.0303,0.0124,0.0084,0.0024,0.0146,0,0,0,0.5783,0.131,0.0013,0.2129,0.0074,0.0007,0.2194,0.0759,0.003,0,0,0,0,0.0487,0.0352,0.8357,0.0002,0,0,0,0.0024,0.7297,0.2679
15050304,Brawley Wash,3649.1395,4.7347,0.2585,0.1818,0.4174,0.509,0,0,0,0,0.0004,0.0224,0.007,0.0021,0.0004,0.0044,0,0.0077,0,0.8099,0.1311,0,0.0113,0.0019,0.0013,0.0751,0.1318,0.1765,0,0.0241,0,0,0.0923,0,0.5627,0.0062,0,0,0,0.0002,0.639,0.3609
15050305,Aguirre Valley,1899.0063,2.9342,0.2642,0.2136,0.5225,0.3743,0,0,0,0,0,0.0011,0.0003,0,0,0.0028,0,0.0053,0,0.9014,0.076,0,0.0043,0.0077,0.0009,0.0289,0.065,0.0673,0,0.0037,0,0.0049,0.0721,0.0136,0.7651,0,0,0,0,0.0005,0.7775,0.2219
