HUC8,NAME,AREA_KM2,SLOPE_DEGREES,SOIL_A_PERCENT,SOIL_B_PERCENT,SOIL_C_PERCENT,SOIL_D_PERCENT,SOIL_A_D_PERCENT,SOIL_B_D_PERCENT,SOIL_C_D_PERCENT,LC_UNCLASSIFIED_PERCENT,LC_OPEN_WATER_PERCENT,LC_DEVELOPED_OPEN_SPACE_PERCENT,LC_DEVELOPED_LOW_INTENSITY_PERCENT,LC_DEVELOPED_MEDIUM_INTENSITY_PERCENT,LC_DEVELOPED_HIGH_INTENSITY_PERCENT,LC_BARREN_LAND_PERCENT,LC_DECIDUOUS_FOREST_PERCENT,LC_EVERGREEN_FOREST_PERCENT,LC_MIXED_FOREST_PERCENT,LC_SHRUB_PERCENT,LC_HERBACEOUS_PERCENT,LC_HAY_PASTURE_PERCENT,LC_CULTIVATED_CROPS_PERCENT,LC_WOODY_WETLANDS_PERCENT,LC_EMERGENT_HERBACEOUS_WETLANDS_PERCENT,KARST_PERCENT,IGNEOUS_INTRUSIVE_PERCENT,SEDIMENTARY_CLASTIC_PERCENT,METAMORPHIC_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,METAMORPHIC_SCHIST_PERCENT,SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_VOLCANIC_PERCENT,METAMORPHIC_UNDIFFERENTIATED_PERCENT,UNCONSOLIDATED_UNDIFFERENTIATED_PERCENT,IGNEOUS_UNDIFFERENTIATED_PERCENT,METAMORPHIC_GNEISS_PERCENT,METAMORPHIC_VOLCANIC_PERCENT,METAMORPHIC_SEDIMENTARY_CLASTIC_PERCENT,ASPECT_FLAT_PERCENT,ASPECT_NORTH_PERCENT,ASPECT_SOUTH_PERCENT
15070103,Hassayampa,3810.2443,7.3648,0.1558,0.3682,0.3214,0.4553,0,0,0,0,0.0001,0.0102,0.0044,0.0027,0.0007,0.0025,0,0.0648,0,0.8434,0.0521,0.0001,0.0176,0.0012,0.0001,0.008,0.2521,0.1363,0,0.006,0,0,0.1075,0.0557,0.4015,0.0001,0,0.0407,0,0.0004,0.3328,0.6668
15070104,Centennial Wash,5002.5315,3.9021,0.3886,0.2685,0.3727,0.3548,0,0,0,0,0.0009,0.0129,0.003,0.0013,0.0005,0.039,0,0.001,0,0.7932,0.0748,0.0016,0.068,0.0017,0.002,0.0133,0.114,0.0147,0,0.0128,0,0,0.1124,0.0365,0.6796,0.0018,0.0222,0.0003,0,0.0048,0.3534,0.6417
15070201,Lower Gila,10858.1197,4.2661,0.4201,0.4058,0.164,0.3865,0,0,0,0,0.0003,0.0055,0.0029,0.0023,0.0005,0.1101,0,0,0,0.7992,0.0352,0.0013,0.037,0.0036,0.0022,0.1187,0.0583,0.0536,0.0022,0.0196,0.0022,0,0.1956,0.0258,0.6387,0.0008,0.005,0,0,0.008,0.4444,0.5476
15070202,Tenmile Wash,2784.0438,3.9157,0.1272,0.6974,0.0957,0.4665,0,0,0,0,0.0001,0.0048,0.0032,0.0013,0.0001,0.0967,0,0,0,0.5947,0.287,0.0001,0.0109,0.0008,0.0001,0.1086,0.0149,0.0043,0,0,0,0,0.404,0.0013,0.5756,0,0,0,0,0.0077,0.6823,0.31
15070203,San Cristobal Wash,4263.0946,3.611,0.1095,0.9662,0.0819,0.2097,0,0,0,0,0,0.0018,0.0009,0.0002,0,0.1106,0,0,0,0.7184,0.1679,0,0.0001,0.0001,0,0.1376,0.0731,0.014,0,0.0005,0,0,0.144,0.0255,0.743,0,0,0,0,0.005,0.6675,0.3274
15080101,San Simon Wash,5582.4995,3.3941,0.2646,0.1988,0.5689,0.3527,0,0,0,0.0001,0,0.0021,0.0004,0.0001,0,0.0045,0,0.0049,0,0.883,0.0818,0,0.0007,0.0218,0.0006,0,0.0853,0.0612,0,0.0107,0,0,0.0993,0,0.7434,0,0,0,0,0.0004,0.4622,0.537
15080102,Rio Sonoyta,1099.483,5.6081,0.1102,0.402,0.1993,0.5174,0,0,0,0.0014,0.0001,0.0017,0.001,0.0001,0,0.0032,0,0,0,0.956,0.0346,0,0,0.0016,0.0002,0,0.1348,0.0516,0,0.0606,0,0,0.2382,0.0039,0.5095,0,0,0,0,0.0001,0.3018,0.6961
15080103,Tule Desert,1288.8011,4.4944,0.0983,0.9132,0.0169,0.3084,0,0,0,0.0015,0,0,0,0,0,0.068,0,0,0,0.8159,0.1145,0,0,0,0,0.0928,0.2137,0,0,0.0014,0,0,0.1616,0.0512,0.5719,0,0,0,0,0.0039,0.4622,0.5326
15080200,Rio De La Concepcion,332.923,11.9972,0.0598,0.0417,0.3433,0.8457,0,0,0,0.0011,0,0.0036,0.0001,0,0,0.0001,0,0.012,0,0.5925,0.39,0,0,0.0003,0.0001,0,0.2094,0.361,0,0.2395,0,0,0.189,0,0,0,0,0,0,0,0.4112,0.5853
15080301,Whitewater Draw,3119.9113,5.3493,0.159,0.0393,0.6464,0.5321,0,0,0,0,0.0006,0.0141,0.0029,0.0014,0.0004,0.0005,0.0001,0.0637,0.0022,0.7072,0.1622,0.0001,0.0445,0,0,0.3265,0.0328,0.1934,0,0,0,0.0306,0.1325,0.0028,0.5822,0.0181,0,0,0,0.0004,0.4272,0.572
15080302,San Bernardino Valley,1021.7893,6.1007,0.0416,0.0142,0.3705,0.9513,0,0,0,0.0001,0.0001,0.0021,0.0004,0.0001,0,0,0,0.0167,0.0004,0.925,0.0518,0,0,0.0004,0.0028,0.5143,0,0.2112,0,0,0,0.0501,0.6595,0,0.0789,0,0,0,0,0.0022,0.3253,0.6708
