"HUC8","Site_Num","Long","Lat","Year","BFI","Temp_C","Precip_MM","AET_MM","Elevation_M","AREA_KM2","SLOPE_DEGREES","SOIL_A_PERCENT","SOIL_B_PERCENT","SOIL_C_PERCENT","SOIL_D_PERCENT","SOIL_A_D_PERCENT","SOIL_B_D_PERCENT","SOIL_C_D_PERCENT","LC_UNCLASSIFIED_PERCENT","LC_OPEN_WATER_PERCENT","LC_DEVELOPED_OPEN_SPACE_PERCENT","LC_DEVELOPED_LOW_INTENSITY_PERCENT","LC_DEVELOPED_MEDIUM_INTENSITY_PERCENT","LC_DEVELOPED_HIGH_INTENSITY_PERCENT","LC_BARREN_LAND_PERCENT","LC_DECIDUOUS_FOREST_PERCENT","LC_EVERGREEN_FOREST_PERCENT","LC_MIXED_FOREST_PERCENT","LC_SHRUB_PERCENT","LC_HERBACEOUS_PERCENT","LC_HAY_PASTURE_PERCENT","LC_CULTIVATED_CROPS_PERCENT","LC_WOODY_WETLANDS_PERCENT","LC_EMERGENT_HERBACEOUS_WETLANDS_PERCENT","KARST_PERCENT","IGNEOUS_INTRUSIVE_PERCENT","SEDIMENTARY_CLASTIC_PERCENT","METAMORPHIC_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT","IGNEOUS_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT","METAMORPHIC_SCHIST_PERCENT","SEDIMENTARY_UNDIFFERENTIATED_PERCENT","IGNEOUS_VOLCANIC_PERCENT","METAMORPHIC_UNDIFFERENTIATED_PERCENT","UNCONSOLIDATED_UNDIFFERENTIATED_PERCENT","IGNEOUS_UNDIFFERENTIATED_PERCENT","METAMORPHIC_GNEISS_PERCENT","METAMORPHIC_VOLCANIC_PERCENT","METAMORPHIC_SEDIMENTARY_CLASTIC_PERCENT","ASPECT_FLAT_PERCENT","ASPECT_NORTH_PERCENT","ASPECT_SOUTH_PERCENT"
15010005,9404222,-113.65535,35.7999,1999,0.872283221094926,17.37,179.46,192.636093139648,507.55,4373.3152,14.025,0.1636,0.0202,0.0746,1.0521,0,0,0,0,0.0284,0.0031,0.001,2e-04,0,0.0415,0,0.1249,0,0.7707,0.0225,0,0,0.0056,0.002,0.5928,0.0512,0.1332,0,0,0,0.526,0.0789,0.06,0.1065,0,0,0,0,0.0218,0.5553,0.4222
15010005,9404222,-113.65535,35.7999,2000,0.867670718747712,17.79,190.54,189.752975463867,507.55,4373.3152,14.025,0.1636,0.0202,0.0746,1.0521,0,0,0,0,0.0284,0.0031,0.001,2e-04,0,0.0415,0,0.1249,0,0.7707,0.0225,0,0,0.0056,0.002,0.5928,0.0512,0.1332,0,0,0,0.526,0.0789,0.06,0.1065,0,0,0,0,0.0218,0.5553,0.4222
15010005,9404222,-113.65535,35.7999,2001,0.800927796818049,17.77,216.5,167.508056640625,507.55,4373.3152,14.025,0.1636,0.0202,0.0746,1.0521,0,0,0,0,0.0284,0.0031,0.001,2e-04,0,0.0415,0,0.1249,0,0.7707,0.0225,0,0,0.0056,0.002,0.5928,0.0512,0.1332,0,0,0,0.526,0.0789,0.06,0.1065,0,0,0,0,0.0218,0.5553,0.4222
15010005,9404222,-113.65535,35.7999,2002,0.859140039329791,17.64,90.24,94.4581985473633,507.55,4373.3152,14.025,0.1636,0.0202,0.0746,1.0521,0,0,0,0,0.0284,0.0031,0.001,2e-04,0,0.0415,0,0.1249,0,0.7707,0.0225,0,0,0.0056,0.002,0.5928,0.0512,0.1332,0,0,0,0.526,0.0789,0.06,0.1065,0,0,0,0,0.0218,0.5553,0.4222
15010005,9404222,-113.65535,35.7999,2003,0.545631985339837,17.91,222.86,218.26025390625,507.55,4373.3152,14.025,0.1636,0.0202,0.0746,1.0521,0,0,0,0,0.0284,0.0031,0.001,2e-04,0,0.0415,0,0.1249,0,0.7707,0.0225,0,0,0.0056,0.002,0.5928,0.0512,0.1332,0,0,0,0.526,0.0789,0.06,0.1065,0,0,0,0,0.0218,0.5553,0.4222
15010005,9404222,-113.65535,35.7999,2004,0.359336024340872,17.1,357.23,352.518432617188,507.55,4373.3152,14.025,0.1636,0.0202,0.0746,1.0521,0,0,0,0,0.0284,0.0031,0.001,2e-04,0,0.0415,0,0.1249,0,0.7707,0.0225,0,0,0.0056,0.002,0.5928,0.0512,0.1332,0,0,0,0.526,0.0789,0.06,0.1065,0,0,0,0,0.0218,0.5553,0.4222
15010005,9404222,-113.65535,35.7999,2005,0.777013102233268,17.23,304.27,247.567642211914,507.55,4373.3152,14.025,0.1636,0.0202,0.0746,1.0521,0,0,0,0,0.0284,0.0031,0.001,2e-04,0,0.0415,0,0.1249,0,0.7707,0.0225,0,0,0.0056,0.002,0.5928,0.0512,0.1332,0,0,0,0.526,0.0789,0.06,0.1065,0,0,0,0,0.0218,0.5553,0.4222
15010005,9404222,-113.65535,35.7999,2006,0.866543472421938,17.17,166.45,132.280288696289,507.55,4373.3152,14.025,0.1636,0.0202,0.0746,1.0521,0,0,0,0,0.0284,0.0031,0.001,2e-04,0,0.0415,0,0.1249,0,0.7707,0.0225,0,0,0.0056,0.002,0.5928,0.0512,0.1332,0,0,0,0.526,0.0789,0.06,0.1065,0,0,0,0,0.0218,0.5553,0.4222
15010005,9404222,-113.65535,35.7999,2007,0.711280000366081,17.64,198.17,192.275344848633,507.55,4373.3152,14.025,0.1636,0.0202,0.0746,1.0521,0,0,0,0,0.0284,0.0031,0.001,2e-04,0,0.0415,0,0.1249,0,0.7707,0.0225,0,0,0.0056,0.002,0.5928,0.0512,0.1332,0,0,0,0.526,0.0789,0.06,0.1065,0,0,0,0,0.0218,0.5553,0.4222
15010005,9404222,-113.65535,35.7999,2008,0.804731720291596,17.01,202.24,185.665481567383,507.55,4373.3152,14.025,0.1636,0.0202,0.0746,1.0521,0,0,0,0,0.0284,0.0031,0.001,2e-04,0,0.0415,0,0.1249,0,0.7707,0.0225,0,0,0.0056,0.002,0.5928,0.0512,0.1332,0,0,0,0.526,0.0789,0.06,0.1065,0,0,0,0,0.0218,0.5553,0.4222
