Longitude,Latitude,Elev_m
-112.415150710000006,31.782415050000001,514.5800781
-112.530982480000006,31.965224950000000,603.9473267
-112.533329940000002,31.884003329999999,561.5395508
-112.601845810000000,31.968220020000000,656.2375488
-112.598228340000006,31.965832760000001,651.8619995
-112.791438150000005,31.948319130000002,496.9842834
-112.613053829999998,31.936279140000000,652.6476440
-112.785171840000004,31.918754520000000,467.5758057
-112.785560320000002,31.900043929999999,448.4815063
-112.787906100000001,31.887403809999999,436.5389709
-112.787945719999996,31.887225460000000,436.2789612
-112.554495480000000,31.892589229999999,573.3449707
-112.553903770000005,31.879392339999999,567.0657959
-112.750495680000000,31.869427009999999,437.9646301
-112.700975549999995,31.857831370000000,451.4633179
-112.548201250000005,31.859482350000000,550.8093262
-112.718718039999999,31.863549150000001,450.2144775
-112.719922269999998,31.853812040000001,442.1725769
-111.519743180000006,31.950253300000000,1082.3388672
-111.475309940000002,31.868543010000000,968.9965820
-111.500573119999999,31.676845329999999,1066.4829102
-111.535193230000004,31.677208109999999,1109.9396973
-111.555115540000003,31.571735879999999,1096.7193604
-111.567477980000007,31.561740629999999,1112.7996826
-112.017233689999998,31.839442600000002,627.6882324
-111.835382240000001,31.832533349999999,741.2624512
-111.735512139999997,31.812168199999999,847.9390259
-111.838637820000002,31.806509349999999,737.7474365
-112.164667260000002,31.794857360000002,583.7769165
-111.862762810000007,31.800521750000001,717.1860352
-112.080711559999997,31.792588670000001,609.7851562
-111.776118350000004,31.779099729999999,796.1543579
-111.767910720000003,31.646293150000002,763.5368042
-111.747047580000000,31.622968749999998,786.6421509
-111.768398529999999,31.612273049999999,763.5555420
-111.782217900000006,31.599078880000000,755.4623413
-111.697525459999994,31.572386059999999,862.0729980
-111.560371599999996,31.521667239999999,1110.7603760
-111.553348929999999,31.516898829999999,1096.9809570
-111.524201460000000,31.519093139999999,1066.9458008
-111.570677730000000,31.495349050000002,1106.9482422
-111.520432860000000,31.487050369999999,1055.2301025
-110.881231499999998,31.966603350000000,858.4026489
-110.662915020000000,31.932273250000001,1189.5219727
-110.820349730000004,31.903845230000002,1038.9034424
-111.106540190000004,31.833295369999998,1069.8455811
-110.985833389999996,31.810838159999999,899.7827148
-110.990287899999998,31.763497699999999,946.3193359
-111.049775220000001,31.753089390000000,934.7081299
-111.022342199999997,31.737346779999999,943.4458008
-111.085142570000002,31.709797999999999,960.9868774
-111.149079819999997,31.690391909999999,1056.3554688
-111.226699560000000,31.655602519999999,1067.6726074
-110.795339679999998,31.596591409999998,1362.0501709
-111.207694309999994,31.540888349999999,1194.8676758
-111.077112389999996,31.465718140000000,1126.2052002
-110.655460009999999,31.735879340000000,1426.0133057
-110.717483880000003,31.737811319999999,1505.0949707
-111.393131749999995,31.960682309999999,841.4309082
-111.331280849999999,31.954121950000001,972.3252563
-111.353558120000002,31.927328169999999,937.8732910
-111.400122830000001,31.891680170000001,879.9949341
-111.424613829999998,31.889678709999998,910.6879272
-111.335007809999993,31.868518869999999,1018.1723022
-111.461837220000007,31.827801820000001,976.9526978
-111.360596459999996,31.782603170000002,971.6774292
-111.300709409999996,31.701134979999999,1076.8266602
-111.438745229999995,31.500666480000000,1164.7548828
-111.451533229999995,31.496425840000001,1139.3428955
-111.399680099999998,31.495213849999999,1243.3284912
-111.319000259999996,31.474585930000000,1249.4803467
-111.393264479999999,31.482392720000000,1196.0450439
-111.415069110000005,31.480111359999999,1197.3609619
-111.361532999999994,31.464846789999999,1183.7980957
-111.368198359999994,31.467616910000000,1206.5643311
-111.419872069999997,31.463062430000001,1155.0654297
-111.323159239999995,31.462468950000002,1219.7227783
-111.337890049999999,31.450161080000001,1183.0386963
-111.344896259999999,31.447545080000001,1166.8835449
-111.440711759999999,31.452256420000001,1111.0822754
-111.203749419999994,31.404655829999999,1134.8225098
-111.190123760000006,31.375890680000001,1235.9713135
-110.587515920000001,31.403292810000000,1447.0871582
-110.526842610000003,31.956385749999999,1136.0938721
-110.510258859999993,31.915145610000000,1238.8597412
-110.480592770000001,31.915695599999999,1282.0653076
-110.575877610000006,31.849813650000002,1295.0877686
-110.462496959999996,31.810472200000000,1609.4143066
-110.276732179999996,31.943930460000001,1087.8293457
-110.314969410000003,31.924643990000000,1242.1425781
-110.113180249999999,31.916627269999999,1343.0445557
-110.168352299999995,31.907696649999998,1223.1748047
-110.194519670000005,31.876403230000001,1154.7507324
-110.164237029999995,31.862820899999999,1236.1396484
-110.009768859999994,31.764330189999999,1433.9370117
-110.072284890000006,31.770064569999999,1343.2180176
-109.933027400000000,31.762753910000001,1547.4331055
-110.354601650000006,31.637715830000001,1309.9395752
-110.147940239999997,31.610322080000000,1231.6384277
-110.152607300000000,31.581022430000001,1235.3494873
-110.167983079999999,31.498975250000001,1300.3571777
-110.108212409999993,31.485301000000000,1270.0076904
-110.112296279999995,31.472161600000000,1255.7473145
-110.241231519999999,31.405671580000000,1536.9887695
-109.984179380000000,31.350710190000001,1368.4797363
-109.811889940000000,31.808908320000000,1424.4918213
-109.923842930000006,31.710098100000000,1488.1578369
-109.919251840000001,31.682587550000001,1448.0463867
-109.914311659999996,31.495875529999999,1599.2229004
-109.780049469999994,31.949019799999999,1290.9162598
-109.676257109999995,31.903349760000001,1317.4698486
-109.601701160000005,31.922543940000001,1349.4854736
-109.546997239999996,31.891704659999998,1405.6564941
-109.536424740000001,31.842459309999999,1426.3039551
-109.467227100000002,31.827458289999999,1557.4841309
-109.742150010000003,31.799438630000001,1320.6351318
-109.477794180000004,31.715270000000000,1535.8441162
-109.419285930000001,31.709670630000002,1648.7739258
-109.389785369999998,31.669331920000001,1679.8608398
-109.457285029999994,31.649404010000001,1513.2276611
-109.756772900000001,31.616442880000001,1259.8479004
-109.436062849999999,31.612398550000002,1513.3657227
-109.409953759999993,31.584458900000001,1536.7406006
-109.567701940000006,31.561856270000000,1329.1282959
-109.601204170000003,31.487433790000001,1268.6765137
-109.454546809999997,31.476887690000002,1378.5653076
-109.438083500000005,31.449625850000000,1414.7218018
-109.580150700000004,31.347532439999998,1195.4528809
-109.580820570000000,31.345153750000001,1191.8737793
-109.356383739999998,31.593754050000001,1632.8587646
-109.295241550000000,31.586185210000000,1476.9002686
-109.337707730000005,31.525645319999999,1422.3143311
-109.405528419999996,31.504601919999999,1425.5950928
-109.227234830000000,31.500464470000001,1324.6718750
-109.328591570000000,31.465797280000000,1302.1407471
-109.247677179999997,31.482455779999999,1329.9589844
-109.384587749999994,31.463396530000001,1335.8156738
-109.351285379999993,31.442563419999999,1275.4837646
-109.168002160000000,31.420164320000001,1283.8011475
-109.241512049999997,31.403497320000000,1203.3607178
-109.139654600000000,31.413063040000001,1290.4552002
-109.367731059999997,31.414972259999999,1276.1927490
-109.384759270000004,31.407542540000001,1313.6107178
-109.278674249999995,31.407924359999999,1233.3209229
-109.269979969999994,31.364993470000002,1165.1331787
-109.118901820000005,31.391185929999999,1310.6306152
-109.319929700000003,31.390187380000000,1207.1086426
-109.196220019999998,31.376207260000001,1203.7247314
-109.368639979999998,31.371607399999998,1271.7176514
-114.068830410000004,32.433025710000003,255.6885376
-114.802468730000001,32.581259220000000,26.6102676
-114.735333060000002,32.576352350000001,31.4868641
-114.472660629999993,32.588355030000002,103.7375412
-114.352914400000003,32.530307559999997,168.9621277
-114.764672030000000,32.510567389999999,27.0799522
-114.438743220000006,32.515105339999998,116.5587540
-114.346109740000003,32.475264459999998,159.8932495
-114.256000220000004,32.425102660000000,262.8024902
-114.241883529999996,32.371015319999998,218.2751007
-114.179158369999996,32.368453510000002,253.6499634
-114.290958470000007,32.366004089999997,186.2886047
-114.123278400000004,32.307703510000003,267.3377686
-114.118655149999995,32.317035910000001,278.4141235
-113.979150149999995,32.261329719999999,310.7609253
-113.980980110000004,32.260604639999997,310.0740662
-113.972790369999998,32.255741430000000,320.4754333
-113.691518950000003,32.490072179999999,191.2497253
-113.487299250000007,32.579002299999999,141.4037476
-113.174613519999994,32.542156140000003,262.7309570
-113.207184159999997,32.532196949999999,244.8242493
-113.400980779999998,32.463209929999998,189.3378601
-113.220283719999998,32.456373180000000,215.5460358
-113.176714009999998,32.355201510000001,241.9528656
-113.225678250000001,32.311651710000000,248.4509277
-113.336603710000006,32.315959200000002,237.5492249
-113.144567649999999,32.265691789999998,281.2614441
-113.165140600000001,32.246246040000003,279.4994202
-113.251773240000006,32.057886449999998,293.6470032
-113.265711769999996,32.029717159999997,267.9978638
-113.882640409999993,32.263762950000000,363.4461365
-113.889198699999994,32.252381040000003,350.8919067
-113.780477450000006,32.233533309999999,379.6074219
-113.916750879999995,32.228631960000001,325.2474976
-113.624148539999993,32.215997199999997,276.2967834
-113.687716989999998,32.214930289999998,321.2499695
-113.799976849999993,32.194956259999998,335.6087646
-113.648121459999999,32.184575490000000,292.3280945
-113.370640890000004,32.167175149999998,251.3114166
-113.249698559999999,32.174503170000001,274.7455444
-113.604929260000006,32.165542100000003,263.2113342
-113.345052420000002,32.155568440000003,242.1898499
-113.341187899999994,32.162235170000002,244.7777100
-113.427024200000005,32.088707620000001,209.3988953
-113.316999539999998,32.103434999999998,258.1164856
-113.405808600000000,32.097781789999999,216.3564606
-112.641540140000004,32.557207750000003,628.2853394
-112.827405089999999,32.573079839999998,386.5387573
-112.969945420000002,32.561946540000001,344.5292969
-112.985885150000001,32.559968970000000,338.1417847
-112.856227989999994,32.559257320000000,367.8159485
-112.803335559999994,32.554629900000002,409.8247986
-112.814891340000003,32.542525400000002,402.3505859
-112.696509680000005,32.529749580000001,557.2098999
-112.739323560000003,32.531590989999998,490.1890869
-112.708184169999996,32.511908020000000,540.8563843
-112.817889820000005,32.450385840000003,445.6652832
-112.897306940000007,32.439139640000000,451.7075195
-112.791183869999998,32.435144319999999,462.1069336
-112.830808529999999,32.347740840000000,529.9902954
-112.731424610000005,32.347090020000003,532.1384888
-112.584585890000000,32.254671250000001,644.4302979
-113.101320689999994,32.576394020000002,287.0189514
-113.004316939999995,32.481510129999997,363.5162048
-113.050896490000000,32.389566909999999,404.1690063
-113.037032580000002,32.337595440000001,459.2863159
-112.896398239999996,32.271951139999999,506.7711792
